year,series,value,unit,source_file,source_sha256,pdf_page,table_or_figure_caption,definition,note,derived,script,pdf_page_note
2022,pie_harmonised_apuntes60,42940.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Suma TEA (P) + TEA-Asperger (P) calculada a partir de Tabla 6,Serie armonizada derivada; 2022 = 42.940,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_harmonised_apuntes60,63642.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Suma TEA (P) + TEA-Asperger (P) calculada a partir de Tabla 6,Serie armonizada derivada; 2022 = 42.940,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_harmonised_share_of_pie_pct,5.444,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × (TEA + TEA-Asperger) / total PIE,Calculado,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_harmonised_share_of_pie_pct,6.876,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × (TEA + TEA-Asperger) / total PIE,Calculado,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_harmonised_share_of_pie_pct,7.783,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × (TEA + TEA-Asperger) / total PIE,Calculado,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_harmonised_share_of_pie_pct,9.787,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × (TEA + TEA-Asperger) / total PIE,Calculado,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_harmonised_share_of_pie_pct,13.455,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,100 × (TEA + TEA-Asperger) / total PIE,Calculado,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_harmonised_sinaces,42945.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,"Estudiantes autistas en PIE (TEA + TEA-Asperger, según Centro de Estudios MINEDUC)",2022 impreso 42.945; 45.014 − 2.074 = 42.940 (= Apuntes 60). Ver regla 2022 en la serie pie_harmonised,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_harmonised_sinaces,63642.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,"Estudiantes autistas en PIE (TEA + TEA-Asperger, según Centro de Estudios MINEDUC)",2022 impreso 42.945; 45.014 − 2.074 = 42.940 (= Apuntes 60). Ver regla 2022 en la serie pie_harmonised,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_harmonised_sinaces,86475.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,"Estudiantes autistas en PIE (TEA + TEA-Asperger, según Centro de Estudios MINEDUC)",2022 impreso 42.945; 45.014 − 2.074 = 42.940 (= Apuntes 60). Ver regla 2022 en la serie pie_harmonised,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_harmonised_sinaces,106786.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,8,Tabla 1. Estudiantes autistas en el sistema educativo 2022-202,"Estudiantes autistas en PIE (TEA + TEA-Asperger, según Centro de Estudios MINEDUC)",2022 impreso 42.945; 45.014 − 2.074 = 42.940 (= Apuntes 60). Ver regla 2022 en la serie pie_harmonised,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_share_of_state_funded_enrolment_published_pct,14.6,percent of enrolment in state-funded establishments,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,1,Principales hallazgos (p.1),Porcentaje publicado: total PIE / matrícula total en establecimientos con aporte estatal,Denominador no publicado en el informe; solo valor redondeado,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_applicants_sinaces,42945.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas al PIE,Coincide con la fila PIE de Tabla 1 (incluye 42.945 en 2022),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_applicants_sinaces,63642.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas al PIE,Coincide con la fila PIE de Tabla 1 (incluye 42.945 en 2022),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_tea_applicants_sinaces,86475.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas al PIE,Coincide con la fila PIE de Tabla 1 (incluye 42.945 en 2022),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_tea_applicants_sinaces,106786.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas al PIE,Coincide con la fila PIE de Tabla 1 (incluye 42.945 en 2022),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_tea_asperger,9135.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista - Asperger (P)',"Categoría histórica mantenida por MINEDUC pese a DSM-5/CIE-11 (nota 2, p.11)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_tea_asperger,9977.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista - Asperger (P)',"Categoría histórica mantenida por MINEDUC pese a DSM-5/CIE-11 (nota 2, p.11)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_tea_asperger,12081.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista - Asperger (P)',"Categoría histórica mantenida por MINEDUC pese a DSM-5/CIE-11 (nota 2, p.11)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_asperger,14095.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista - Asperger (P)',"Categoría histórica mantenida por MINEDUC pese a DSM-5/CIE-11 (nota 2, p.11)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_asperger,16091.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista - Asperger (P)',"Categoría histórica mantenida por MINEDUC pese a DSM-5/CIE-11 (nota 2, p.11)",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_asperger_female,2872.0,students,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,"pie_tea_asperger 2023, género femenino",Publicado 17.8% del tipo de integración; solo estudiantes con información de género,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_asperger_female_share_pct,17.85,percent,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,100 × femenino / (femenino + masculino),Publicado 17.8%,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_asperger_male,13219.0,students,APUNTES_59_2024_PIE_sexo_2023.pdf,ccb10e54c1dc9ec2b96d59e2943082663721840b84199bb3de61922d5d2a41b5,5,Tabla 2. Cantidad de estudiantes en el PIE según tipo de integración y género,"pie_tea_asperger 2023, género masculino",Publicado 82.2% del tipo de integración; solo estudiantes con información de género,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_tea_asperger_share_of_pie_pct_published,2.4,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista - Asperger (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_tea_asperger_share_of_pie_pct_published,2.9,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista - Asperger (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_tea_asperger_share_of_pie_pct_published,3.0,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista - Asperger (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_asperger_share_of_pie_pct_published,3.2,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista - Asperger (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_asperger_share_of_pie_pct_published,3.4,percent of PIE students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,10,Gráfico 3. Tipo de integración (%),Porcentaje publicado de 'Trastorno del Espectro Autista - Asperger (P)' sobre el total PIE,"Valor redondeado a 0,1 pp en el gráfico",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_exceptional_entry,5643.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso excepcional (autorización Seremi),"Indicador de presión sobre cupos, no prevalencia",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_exceptional_entry,11906.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso excepcional (autorización Seremi),"Indicador de presión sobre cupos, no prevalencia",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_tea_exceptional_entry,19629.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso excepcional (autorización Seremi),"Indicador de presión sobre cupos, no prevalencia",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_tea_exceptional_entry,28119.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso excepcional (autorización Seremi),"Indicador de presión sobre cupos, no prevalencia",False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_regular_entry,37302.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso regular (cupos Decreto 170),,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_regular_entry,51736.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso regular (cupos Decreto 170),,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_tea_regular_entry,66846.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso regular (cupos Decreto 170),,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_tea_regular_entry,78667.0,students,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,Postulantes autistas por ingreso regular (cupos Decreto 170),,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_share_of_applicants_pct,9.787,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,100 × postulantes autistas / total postulantes (calculado),,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_share_of_applicants_pct,13.455,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,100 × postulantes autistas / total postulantes (calculado),,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_tea_share_of_applicants_pct,17.326,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,100 × postulantes autistas / total postulantes (calculado),,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_tea_share_of_applicants_pct,22.448,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,100 × postulantes autistas / total postulantes (calculado),,True,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_share_of_applicants_published_pct,9.8,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,% publicado: postulantes autistas / total postulantes,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2023,pie_tea_share_of_applicants_published_pct,13.5,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,% publicado: postulantes autistas / total postulantes,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2024,pie_tea_share_of_applicants_published_pct,17.3,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,% publicado: postulantes autistas / total postulantes,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2025,pie_tea_share_of_applicants_published_pct,22.5,percent of PIE applicants,Reporte_Ley_21545_SINACES_2022_2025.pdf,46095f5860f09a605bfbb392ea78423aa2dc461c55972bc31f72a1f58b230f93,9,Tabla 2. Estudiantes autistas postulados al PIE 2022 – 2025.,% publicado: postulantes autistas / total postulantes,,False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2019,pie_tea_strict,11877.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista (P)' (establecimientos funcionando),Registro administrativo para subvención; no incluye a todo el estudiantado autista (nota SINACES p.8),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2020,pie_tea_strict,13613.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista (P)' (establecimientos funcionando),Registro administrativo para subvención; no incluye a todo el estudiantado autista (nota SINACES p.8),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2021,pie_tea_strict,18801.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista (P)' (establecimientos funcionando),Registro administrativo para subvención; no incluye a todo el estudiantado autista (nota SINACES p.8),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
2022,pie_tea_strict,28845.0,students,APUNTES_60_2024_tendencia_PIE_2019_2023.pdf,c3d5108c1715e26250bde19408035928d5985b211bd992c750f0c13cfa40c235,11,Tabla 6. Cantidad de estudiantes en el PIE según tipo de integración,Estudiantes matriculados en PIE con NEE permanente 'Trastorno del Espectro Autista (P)' (establecimientos funcionando),Registro administrativo para subvención; no incluye a todo el estudiantado autista (nota SINACES p.8),False,study/pipeline/05_education.py,pdf_page = página física (1-based) del PDF; coincide con la paginación impresa en los tres informes
