"key","kind","doi","url","verification_method","verification_url","accessed","priority","why_needed","status"
"moran1950","article","10.1093/biomet/37.1-2.17","","Crossref DOI resolution (api.crossref.org); both the existing bib DOI 10.2307/2332142 (JSTOR, page '17') and the Biometrika-native DOI 10.1093/biomet/37.1-2.17 (pages 17-23) resolve; the native DOI is recommended || RE-AUDIT 2026-09-04: Crossref: title/MORAN/Biometrika 37(1-2):17-23/1950 match","https://api.crossref.org/works/10.1093/biomet/37.1-2.17","2026-09-04","core","Global Moran's I for spatial autocorrelation of comuna-level rates.","audited"
"anselin1995","article","10.1111/j.1538-4632.1995.tb00338.x","","Crossref DOI resolution (api.crossref.org); existing bib DOI confirmed correct || RE-AUDIT 2026-09-04: Crossref: title/Anselin/Geographical Analysis 27(2):93-115/1995 match","https://api.crossref.org/works/10.1111/j.1538-4632.1995.tb00338.x","2026-09-04","core","Local Moran (LISA) cluster maps.","audited"
"benjamini1995","article","10.1111/j.2517-6161.1995.tb02031.x","","Crossref DOI resolution (api.crossref.org); DOI was missing from existing bib || RE-AUDIT 2026-09-04: Crossref: title/Benjamini & Hochberg/JRSS Series B: Statistical Methodology 57(1):289-300/1995 match","https://api.crossref.org/works/10.1111/j.2517-6161.1995.tb02031.x","2026-09-04","core","FDR correction for multiple LISA / comuna-level tests.","audited"
"rey2007","article","10.52324/001c.8285","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/Rey & Anselin/Review of Regional Studies 37(1)/2007 match (no pages in Crossref; none in bib)","https://api.crossref.org/works/10.52324/001c.8285","2026-09-04","supporting","Software citation for PySAL (esda/libpysal) used for Moran's I and LISA; journal version.","audited"
"rey2010","incollection","10.1007/978-3-642-03647-7_11","","Crossref DOI resolution of chapter (issued 2009 in Crossref chapter record) and of the book 10.1007/978-3-642-03647-7 (published-print 2010; editors Fischer & Getis; ISBN 9783642036460/9783642036477); DOI was missing from existing bib || RE-AUDIT 2026-09-04: Crossref chapter: title/Rey & Anselin/pages 175-193, container 'Handbook of Applied Spatial Analysis', published-print 2010 (online 2009); book record 10.1007/978-3-642-03647-7 confirms subtitle 'Software Tools, Methods and Applications', editors Fischer & Getis, Springer Berlin Heidelberg, 2010 -> booktitle with subtitle retained","https://api.crossref.org/works/10.1007/978-3-642-03647-7_11","2026-09-04","supporting","Alternative PySAL citation (book chapter) matching the existing bib entry rey2010.","audited"
"wedderburn1974","article","10.1093/biomet/61.3.439","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/WEDDERBURN/Biometrika 61(3):439-447/1974 match","https://api.crossref.org/works/10.1093/biomet/61.3.439","2026-09-04","core","Quasi-likelihood / quasi-Poisson regression with overdispersion for trend models.","audited"
"mccullagh1989","book","10.1007/978-1-4899-3242-6","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref book: 'Generalized Linear Models'/McCullagh & Nelder/Springer US/1989/ISBNs match","https://api.crossref.org/works/10.1007/978-1-4899-3242-6","2026-09-04","supporting","Standard text for GLMs and the dispersion parameter (quasi-Poisson); alternative to Wedderburn 1974.","audited"
"wolter2007","book","10.1007/978-0-387-35099-8","","Crossref DOI resolution of the book record (title, publisher, year, ISBN) plus the chapter record 10.1007/978-0-387-35099-8_1 which carries the author name 'Wolter, Kirk M.'; Springer landing page not fetchable (bot challenge) || RE-AUDIT 2026-09-04: Crossref book record: title/Springer New York/2007/ISBN 9780387329178 match; book record has no author, chapter record 10.1007/978-0-387-35099-8_1 gives 'Wolter, Kirk M.'; series 'Statistics for Social and Behavioral Sciences' (container-title) added to bib","https://api.crossref.org/works/10.1007/978-0-387-35099-8","2026-09-04","supporting","Taylor-series linearisation for variances of ratio estimators.","audited"
"lumley2004","article","10.18637/jss.v009.i08","","Crossref DOI resolution (api.crossref.org); page range 1-19 confirmed on JSS landing page https://www.jstatsoft.org/article/view/v009i08 || RE-AUDIT 2026-09-04: Crossref: title/Lumley/Journal of Statistical Software 9(8)/2004 match; JSS landing page re-fetched: citation_firstpage 1, citation_lastpage 19","https://api.crossref.org/works/10.18637/jss.v009.i08","2026-09-04","supporting","Linearisation-based variance estimation for ratios/proportions in survey-type designs (survey package methodology).","audited"
"wilson1927","article","10.1080/01621459.1927.10502953","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/Wilson/JASA 22(158):209-212/1927 match","https://api.crossref.org/works/10.1080/01621459.1927.10502953","2026-09-04","core","Wilson score interval for binomial proportions (e.g., share of principal-diagnosis codes, sex ratio).","audited"
"brown2001","article","10.1214/ss/1009213286","","Crossref DOI resolution (api.crossref.org); page range 101-133 confirmed on Project Euclid landing page || RE-AUDIT 2026-09-04: Crossref: title/Brown, Cai, DasGupta/Statistical Science 16(2)/2001 match (no pages in Crossref); Project Euclid bot-blocked this session; pages 101-133 confirmed by zbMATH Open ('Stat. Sci. 16, No. 2, 101-133 (2001)') and Semantic Scholar","https://api.crossref.org/works/10.1214/ss/1009213286","2026-09-04","core","Justifies choice of Wilson and Jeffreys intervals over Wald for proportions.","audited"
"jeffreys1946","article","10.1098/rspa.1946.0056","","Crossref DOI resolution (api.crossref.org) || RE-AUDIT 2026-09-04: Crossref: title/Jeffreys/Proc R Soc Lond A 186(1007):453-461/1946 match","https://api.crossref.org/works/10.1098/rspa.1946.0056","2026-09-04","optional","Original source of the Jeffreys prior underlying the Jeffreys binomial interval; Brown et al 2001 usually suffices.","audited"
"song2010","article","10.1056/NEJMsa0910881","","Crossref DOI resolution (api.crossref.org) and PubMed esummary PMID 20463332 || RE-AUDIT 2026-09-04: Crossref: title/authors(6)/NEJM 363(1):45-53/2010 match; PubMed PMID 20463332 agrees","https://api.crossref.org/works/10.1056/NEJMsa0910881","2026-09-04","core","Evidence that diagnostic intensity/coding depth varies by region in administrative data; frames interpretation of geographic variation in autism recognition.","audited"
"welch2011","article","10.1001/jama.2011.307","","Crossref DOI resolution (api.crossref.org; lists first author only) and PubMed esummary PMID 21406648 (full author list, pages 1113-8) || RE-AUDIT 2026-09-04: Crossref: title/Welch (single-author deposit)/JAMA 305(11), first page 1113/2011; PubMed esummary PMID 21406648 confirms five authors and pages 1113-8","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=21406648&retmode=json","2026-09-04","supporting","Regional diagnosis frequency reflects diagnostic practice rather than disease burden; supports discussion of administrative recognition vs prevalence.","audited"
"quan2008","article","10.1111/j.1475-6773.2007.00822.x","","Crossref DOI resolution (api.crossref.org) and PubMed esummary PMID 18756617 || RE-AUDIT 2026-09-04: Crossref: title/authors(7 + IMECCHI Investigators)/Health Services Research 43(4):1424-1441/2008 match; PubMed PMID 18756617 agrees","https://api.crossref.org/works/10.1111/j.1475-6773.2007.00822.x","2026-09-04","supporting","Validity/sensitivity of ICD-10 administrative coding for clinical conditions; limitations of GRD discharge coding.","audited"
"iezzoni1992","article","10.1001/jama.1992.03480160055034","","Crossref DOI resolution (api.crossref.org; record shows first author only, family name mis-typed 'lezzoni', page 2197) and PubMed esummary PMID 1556797 (full author list, pages 2197-203; PubMed lists alias DOI 10.1001/jama.267.16.2197) || RE-AUDIT 2026-09-04: Crossref: title+subtitle/first author mis-typed 'lezzoni' (single-author deposit)/JAMA 267(16), first page 2197/1992; PubMed esummary PMID 1556797 confirms Iezzoni LI + 5 co-authors and pages 2197-203","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=1556797&retmode=json","2026-09-04","core","Classic reference on how the number of diagnosis codes recorded (coding depth) affects what administrative data capture.","audited"
"preen2006","article","10.1016/j.jclinepi.2005.12.013","","Crossref DOI resolution (api.crossref.org); also found in PubMed esearch (PMID 16895817) || RE-AUDIT 2026-09-04: Crossref: title/authors(5)/J Clin Epidemiol 59(9):940-946/2006 match; PubMed PMID 16895817 agrees","https://api.crossref.org/works/10.1016/j.jclinepi.2005.12.013","2026-09-04","supporting","Sensitivity of administrative-data case capture to lookback/observation window; relevant to cumulative person-based recognition across 2019-2025.","audited"
"romano1994","article","10.1097/00005650-199401000-00006","","PubMed esummary PMID 8277803 || RE-AUDIT 2026-09-04: Crossref: title/Romano & Mark/Medical Care 32(1):81-90/1994 match; PubMed PMID 8277803 agrees","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=8277803&retmode=json","2026-09-04","supporting","Systematic bias in secondary-diagnosis coding of hospital discharge data (coding depth/intensity).","audited"
"jollis1993","article","10.7326/0003-4819-119-8-199310150-00011","","PubMed esummary PMID 8018127 || RE-AUDIT 2026-09-04: Crossref: title/authors(6)/Annals of Internal Medicine 119(8):844-850/1993 match; PubMed PMID 8018127 agrees","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=8018127&retmode=json","2026-09-04","optional","Discordance between administrative and clinical records; optional support for limitations.","audited"
"omalley2005","article","10.1111/j.1475-6773.2005.00444.x","","PubMed esummary PMID 16178999 || RE-AUDIT 2026-09-04: Crossref: title/authors(6)/Health Services Research 40(5p2):1620-1639/2005 match; PubMed PMID 16178999 gives issue '5 Pt 2' (as in bib), pages 1620-39","https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esummary.fcgi?db=pubmed&id=16178999&retmode=json","2026-09-04","supporting","Framework for sources of ICD coding error in administrative data (limitations section).","audited"
"zeidan2022","article","10.1002/aur.2696","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(9)/Autism Research 15(5):778-790/2022 match","https://api.crossref.org/works/10.1002/aur.2696","2026-09-04","core","Most-cited recent systematic review of global autism prevalence (median ~1%); anchors the introduction's global-prevalence statement and the comparison of Chilean administrative rates with survey-based estimates. Existing bib entry re-verified: metadata correct.","audited"
"santomauro2025","article","10.1016/S2215-0366(24)00363-8","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/first 6 of 183 authors/Lancet Psychiatry 12(2):111-121/2025 match","https://api.crossref.org/works/10.1016/S2215-0366(24)00363-8","2026-09-04","core","GBD 2021 autism estimates (prevalence, YLDs, regional estimates incl. Latin America) – the most recent global burden benchmark against which Chilean administrative recognition can be compared. WARNING: the existing references.bib author list for this key is WRONG (it lists Hedley, Sahin, Brugha, Naghavi, Vos, Whiteford, Ferrari, Stokes); Crossref author order is Santomauro DF, Erskine HE, Mantilla Herrera AM, Miller PA, Shadid J, Hagins H, ... – replace.","audited"
"shaw2025","article","10.15585/mmwr.ss7402a1","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/first 6 of 52 authors/MMWR Surveill Summ 74(2):1-22/2025 match","https://api.crossref.org/works/10.15585/mmwr.ss7402a1","2026-09-04","core","Latest ADDM surveillance (2022 surveillance year): 1 in 31 eight-year-olds; multisource (health + education records) surveillance design is the closest methodological analogue to the Chilean health+education approach. Existing bib entry re-verified; Crossref gives issue as '2' (bib uses 'SS-2', both acceptable).","audited"
"maenner2023","article","10.15585/mmwr.ss7202a1","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/first 6 of 36 authors/MMWR Surveill Summ 72(2):1-14/2023 match","https://api.crossref.org/works/10.15585/mmwr.ss7202a1","2026-09-04","supporting","ADDM 2020 report (1 in 36); useful for describing the ADDM trend (2020 to 2022) and the first ADDM cycle where prevalence among girls exceeded 1% and racial/ethnic gaps reversed. Not in existing bib.","audited"
"talantseva2023","article","10.3389/fpsyt.2023.1071181","","Crossref API JSON (DOI resolved; title, authors, container, volume, article number as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(8)/Frontiers in Psychiatry 14, article 1071181/2023 match","https://api.crossref.org/works/10.3389/fpsyt.2023.1071181","2026-09-04","supporting","Recent three-level meta-analysis of global prevalence (pooled ~0.6%, higher in recent years and in register/record-based designs); supports statement that estimates vary by ascertainment method. Existing bib entry re-verified: correct.","audited"
"solmi2022","article","10.1038/s41380-022-01630-7","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/first 6 of 30 authors/Molecular Psychiatry 27(10):4172-4180/2022 match","https://api.crossref.org/works/10.1038/s41380-022-01630-7","2026-09-04","core","GBD 2019 country-level autism incidence/prevalence including Chile and Latin American countries; provides a modelled benchmark for the Chilean recognised prevalence. Existing bib entry re-verified: correct (add issue 10).","audited"
"fombonne2021","article","10.1007/s10803-021-05005-9","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(3)/J Autism Dev Disord 51(12):4271-4290/2021 match","https://api.crossref.org/works/10.1007/s10803-021-05005-9","2026-09-04","core","Authoritative review of survey/surveillance methodology for ASD prevalence (case ascertainment, multisource records, administrative vs. active surveillance, interpretation of rising rates) – underpins the methods and limitations discussion. Existing bib entry re-verified: correct (add issue 12).","audited"
"lord2022","article","10.1016/S0140-6736(21)01541-5","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/first 6 of 32 authors/The Lancet 399(10321):271-334/2022 match","https://api.crossref.org/works/10.1016/S0140-6736(21)01541-5","2026-09-04","core","Lancet Commission: global policy framing, recommendation for personalised stepped care and for national data systems/registries to monitor autism – ideal Lancet-family framing for policy implications of Ley 21.545 and multisource surveillance. Not in existing bib.","audited"
"russell2022","article","10.1111/jcpp.13505","","Crossref API JSON (DOI resolved; published-print 2022-06, published-online 2021-08-19) + PubMed esummary PMID 34414570 (J Child Psychol Psychiatry 2022 Jun;63(6):674-682) || RE-AUDIT 2026-09-04: Crossref: title/authors(8)/J Child Psychol Psychiatry 63(6):674-682, print 2022 (online 2021) match; PubMed PMID 34414570 agrees","https://pubmed.ncbi.nlm.nih.gov/34414570/","2026-09-04","core","UK primary-care (CPRD) study showing a 787% exponential increase in recorded autism diagnoses 1998-2018, greatest in adults and females – key precedent for interpreting rising administrative recognition as changes in diagnostic practice rather than incidence. Not in existing bib. Note: Crossref 'issued' year is 2021 (online-first); print issue is June 2022 – cite as 2022.","audited"
"hansen2015","article","10.1001/jamapediatrics.2014.1893","","Crossref API JSON (DOI resolved; title + subtitle, authors, volume, issue, start page 56) + PubMed esummary PMID 25365033 (JAMA Pediatr 2015 Jan;169(1):56-62) || RE-AUDIT 2026-09-04: Crossref: title+subtitle/authors(3)/JAMA Pediatrics 169(1), first page 56/2015; PubMed PMID 25365033 confirms pages 56-62","https://pubmed.ncbi.nlm.nih.gov/25365033/","2026-09-04","core","Danish register study attributing ~60% of the increase in ASD prevalence to changes in diagnostic criteria and inclusion of outpatient contacts – canonical evidence that administrative-data trends reflect reporting practice; directly relevant to the interpretation of Chilean health-system counts. Not in existing bib.","audited"
"lundstrom2015","article","10.1136/bmj.h1961","","Crossref API JSON (DOI resolved) + PubMed esummary PMID 25922345 (BMJ 2015 Apr 28;350:h1961) || RE-AUDIT 2026-09-04: Crossref: title/authors(5)/BMJ 350:h1961/2015 match; PubMed PMID 25922345 agrees (no issue number)","https://pubmed.ncbi.nlm.nih.gov/25922345/","2026-09-04","core","Shows that the population autism phenotype was stable over 10 years while registered diagnoses rose steeply in Sweden – the key argument that administrative 'recognition' and underlying prevalence are distinct constructs (central to the manuscript's framing of 'administrative recognition'). Not in existing bib.","audited"
"rodgaard2019","article","10.1001/jamapsychiatry.2019.1956","","Crossref API JSON (DOI resolved; title + subtitle, authors, volume, issue, start page 1124) + PubMed esummary PMID 31433441 (JAMA Psychiatry 2019 Nov 1;76(11):1124-1132) || RE-AUDIT 2026-09-04: Crossref: title+subtitle/authors(5)/JAMA Psychiatry 76(11), first page 1124/2019; PubMed PMID 31433441 confirms pages 1124-1132","https://pubmed.ncbi.nlm.nih.gov/31433441/","2026-09-04","supporting","Meta-analysis showing shrinking autism-vs-control effect sizes over time, consistent with broadening of diagnostic boundaries – supports the discussion that expanding recognition captures a heterogeneous, less-impaired population. Not in existing bib.","audited"
"loomes2017","article","10.1016/j.jaac.2017.03.013","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(3)/J Am Acad Child Adolesc Psychiatry 56(6):466-474/2017 match","https://api.crossref.org/works/10.1016/j.jaac.2017.03.013","2026-09-04","core","Reference male:female ratio (~3:1 in active-ascertainment studies vs 4:1+ in passive/administrative samples) for interpreting sex ratios in Chilean health and education data. Existing bib entry re-verified: correct.","audited"
"fyfe2026","article","10.1136/bmj-2025-084164","","Crossref API JSON (DOI 10.1136/bmj-2025-084164 resolved; published-online 2026-02-04; volume 392; page e084164; 12 authors) + PubMed esummary PMID 41638711 (BMJ 2026 Feb 4;392:e084164) || RE-AUDIT 2026-09-04: Crossref: title/authors(12)/BMJ 392:e084164/2026 match; PubMed PMID 41638711 agrees","https://pubmed.ncbi.nlm.nih.gov/41638711/","2026-09-04","core","Most recent (Feb 2026) population-based evidence of a declining male:female ratio in autism incidence over time (Swedish birth cohorts) – directly relevant to any sex-ratio trend observed in Chilean data 2019-2025. Existence and DOI CONFIRMED. Existing bib entry must be corrected: first author is 'Caroline Fyfe' (bib has 'Caro'); add volume 392 and article number e084164 and the full author list.","audited"
"bougeard2021","article","10.3389/fpsyt.2021.744709","","Crossref API JSON (DOI resolved; title, authors, container, volume, article number as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(5)/Frontiers in Psychiatry 12, article 744709/2021 match","https://api.crossref.org/works/10.3389/fpsyt.2021.744709","2026-09-04","supporting","Systematic review of ASD prevalence and co-occurring conditions (ADHD, anxiety, intellectual disability, epilepsy) in children/adolescents – supports interpretation of comorbid diagnoses in administrative records. Existing bib entry re-verified; note Crossref gives the fourth author's given name as 'Rosanne' (bib has 'Rosanna').","audited"
"elsabbagh2012","article","10.1002/aur.239","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(12)/Autism Research 5(3):160-179/2012 match","https://api.crossref.org/works/10.1002/aur.239","2026-09-04","optional","Earlier global prevalence review (median 62/10,000) that highlighted the near-absence of data from Latin America; useful historical anchor for the data-gap argument, but largely superseded by Zeidan 2022. Not in existing bib.","audited"
"zablotsky2019","article","10.1542/peds.2019-0811","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, article number as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(9)/Pediatrics 144(4):e20190811/2019 match","https://api.crossref.org/works/10.1542/peds.2019-0811","2026-09-04","optional","NHIS parent-report estimates (autism 2.5% in 2014-2016 and rising) – contrast between survey-based and record-based ascertainment in the US; optional given the 30-reference cap. Not in existing bib.","audited"
"croen2015","article","10.1177/1362361315577517","","Crossref API JSON (DOI resolved) + PubMed esummary PMID 25911091 (Autism 2015 Oct;19(7):814-23) || RE-AUDIT 2026-09-04: Crossref: title/authors(7)/Autism 19(7):814-823/2015 match; PubMed PMID 25911091 agrees","https://pubmed.ncbi.nlm.nih.gov/25911091/","2026-09-04","supporting","Large insured-population (Kaiser Permanente) study of adults with autism showing elevated psychiatric and medical comorbidity – supports discussion of adult recognition and health-service contact in hospital/outpatient data. Not in existing bib.","audited"
"vohra2017","article","10.1177/1362361316665222","","Crossref API JSON (DOI resolved; published-print 2017-11, published-online 2016-10-20) + PubMed esummary PMID 27875247 (Autism 2017 Nov;21(8):995-1009) || RE-AUDIT 2026-09-04: Crossref: title/authors(3)/Autism 21(8):995-1009, print 2017 (online 2016) match; PubMed PMID 27875247 agrees","https://pubmed.ncbi.nlm.nih.gov/27875247/","2026-09-04","optional","Administrative-claims (Medicaid) study of adult autism health-care utilisation (ED visits, hospitalisations, costs) – alternative to Croen 2015 for the adult health-care-use point. Note Crossref 'issued' year is 2016 (online-first); print issue is Nov 2017 – cite as 2017. Not in existing bib.","audited"
"lai2020","article","10.1097/YCO.0000000000000575","","Crossref API JSON (DOI resolved) + PubMed esummary PMID 31815760 (Curr Opin Psychiatry 2020 Mar;33(2):117-123) || RE-AUDIT 2026-09-04: Crossref: title/Lai & Szatmari/Curr Opin Psychiatry 33(2):117-123/2020 match; PubMed PMID 31815760 agrees","https://pubmed.ncbi.nlm.nih.gov/31815760/","2026-09-04","supporting","Review of sex/gender effects on presentation and clinical recognition of autism (female under-recognition, later diagnosis, camouflaging) – needed to interpret sex differences in administrative recognition, especially in education vs health data. Not in existing bib.","audited"
"hull2020","article","10.1007/s40489-020-00197-9","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(3)/Rev J Autism Dev Disord 7(4):306-317/2020 match","https://api.crossref.org/works/10.1007/s40489-020-00197-9","2026-09-04","optional","Narrative review of the female autism phenotype and camouflaging as mechanisms of diagnostic bias against girls/women – alternative or complement to Lai & Szatmari 2020. Not in existing bib.","audited"
"idring2015","article","10.1007/s10803-014-2336-y","","Crossref API JSON (DOI resolved; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(8)/J Autism Dev Disord 45(6):1766-1773, print 2015 (online 2014) match","https://api.crossref.org/works/10.1007/s10803-014-2336-y","2026-09-04","supporting","Register-linkage (health + habilitation services) study documenting a ~3.5-fold increase in recorded ASD prevalence 2001-2011 in Stockholm, mainly among cases without intellectual disability – a direct multisource administrative precedent for the Chilean design. Added beyond the requested list; not in existing bib.","audited"
"atladottir2015","article","10.1007/s00787-014-0553-8","","Crossref API JSON (DOI resolved; published-print 2015-02, published-online 2014-05-06; title, authors, container, volume, issue, pages as returned) || RE-AUDIT 2026-09-04: Crossref: title/authors(14)/Eur Child Adolesc Psychiatry 24(2):173-183, print 2015 (online 2014) match","https://api.crossref.org/works/10.1007/s00787-014-0553-8","2026-09-04","optional","Multinational (Denmark, Finland, Sweden, Western Australia) register comparison showing rising reported ASD diagnoses across systems – supports the generalisability of administrative-recognition trends. Added beyond the requested list; cite as 2015 (print). Not in existing bib.","audited"
