Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects,2019–2024,400,35.9 (32.0 to 40.0),< 0.001,3.83,1.20,"Quasi-Poisson, fixed effects, hospital-clustered SE",Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Hospital-clustered robust SE.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital fixed effects + hospital-year coding depth,2019–2024,400,34.2 (31.6 to 36.8),< 0.001,3.78,1.23,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity).
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Fixed panel of 65 hospitals,All activity,Any position,Hospital fixed effects,2019–2024,390,35.9 (33.9 to 38.0),< 0.001,3.86,1.20,Quasi-Poisson with hospital fixed effects,Hospital fixed effects (indicator variables); common trend; RR vs geometric mean of hospitals. Within-hospital Durbin–Watson (consecutive-year pairs). Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545.
GRD hospital-year: trend with hospital effects,Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,log(hospital-year episodes),Observed annual panel,All activity,Any position,Hospital random intercept,2019–2024,400,35.9 (34.9 to 37.0),< 0.001,3.15,1.20,Poisson random intercept (Laplace/MAP),"Poisson random intercept with offset (PoissonBayesMixedGLM subclass); converged. Priors: fixed effects N(0, 10²); log-SD of intercept N(0, 1); offset centred on the pooled rate. Poisson likelihood without a dispersion parameter: narrower CI than quasi-Poisson; the dispersion shown is the Pearson χ² conditional on the random effects (MAP) / (n − p − 1), diagnostic only; read as sensitivity. Hospital-level results are descriptive; no causal ecological interpretation. No specification estimates an effect of Law 21.545."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,40.4 (25.1 to 57.5),< 0.001,205.55,1.55,Quasi-Poisson log-linear,"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,42.1 (37.9 to 46.4),< 0.001,13.79,1.52,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Males,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,37.5 (33.6 to 41.5),< 0.001,9.36,1.64,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Females,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2019–2024,102,54.9 (48.3 to 61.8),< 0.001,7.68,1.18,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position · Both sexes,"log(INE population, base 2017)",Observed annual panel,All activity,Any position,Age-group fixed effects (age adjustment),2021–2024,68,53.8 (49.0 to 58.8),< 0.001,5.98,1.74,Quasi-Poisson with age effects (adjusted APC),"Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Episodes without valid age or sex excluded from the standardised rate (included in the crude rate). No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2021–2025,5,47.2 (27.4 to 70.0),< 0.001,355.73,1.47,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2022–2025,4,36.9 (18.7 to 57.9),< 0.001,228.56,2.04,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,27.9 (23.7 to 32.2),< 0.001,16.54,1.82,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),"Entries, stable panel","log(INE population, base 2017)",Stable panel (reports in every year of the era),—,—,No covariates,2021–2025,5,38.5 (26.8 to 51.2),< 0.001,73.86,1.46,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Stable panel: establishments with a row for the code in every year of the era. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported,None (count),All reporting establishments,—,—,No covariates,2021–2025,5,48.1 (28.2 to 71.2),< 0.001,357.20,1.47,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,Strict REM autism (identical in both variants),Entries reported · Both sexes,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,49.1 (43.0 to 55.5),< 0.001,29.87,1.09,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Series identical in both variants. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported,"log(INE population, base 2017)",All reporting establishments,—,—,No covariates,2021–2025,5,29.1 (16.5 to 43.2),< 0.001,282.59,1.42,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM A05: mental-health programme entries for autism,REM A05 2021–2025,F84 without Rett,Entries reported,log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,20.6 (16.6 to 24.8),< 0.001,28.03,1.94,Quasi-Poisson log-linear,"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Fewer A05 establishments report in 2025 (952 vs 1,070 in 2024). No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
"REM A05: autism entries per 100,000 population (INE)",REM A05 2021–2025,F84 without Rett,Entries reported · Both sexes,"log(INE population, base 2017)",All reporting establishments,—,—,Age-group fixed effects (age adjustment),2021–2025,85,30.8 (26.7 to 35.0),< 0.001,26.42,1.02,Quasi-Poisson with age effects (adjusted APC),"Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Numerator = sum of age × sex cells (may differ by ≤1 from the COL01 total). Numerator by place of care (public network) and denominator by residence (INE): complementary reading, not prevalence. No specification estimates an effect of Law 21.545. Adjusted APC: counts by age (and sex) with stratum fixed effects and log(population) offset."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2019–2025,7,63.5 (54.1 to 73.6),< 0.001,175.95,1.66,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2019–2025,7,36.3 (32.6 to 40.0),< 0.001,34.32,1.62,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,2020–2021 reporting-disruption indicator,2019–2025,7,57.1 (49.4 to 65.2),< 0.001,84.87,2.17,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),"December stock, stable panel",None (count),Stable panel (reports in every year of the era),—,—,No covariates,2019–2025,7,48.0 (42.5 to 53.7),< 0.001,29.43,1.61,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Stable panel: establishments with a row for the code in every year of the era. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: NANEAS population with ASD under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,60.1 (48.3 to 72.8),< 0.001,178.79,1.63,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P2: ASD per 100 NANEAS under control (December),REM P2 2019–2025,Independent of Rett (identical),People under control (December stock),log(total NANEAS under control),All reporting establishments,—,—,No covariates,2023–2025,3,14.7 (2.6 to 28.1),0.016,128.94,2.97,Quasi-Poisson log-linear (stock growth),"One residual degree of freedom: dispersion very unstable. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Total NANEAS available only from December 2023: 3 points. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,65.8 (48.9 to 84.5),< 0.001,241.88,1.42,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,34.7 (28.9 to 40.8),< 0.001,37.91,1.45,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,36.1 (27.1 to 45.6),< 0.001,80.27,3.02,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,Strict REM autism (identical in both variants),People under control (December stock),log(reporting establishments),All reporting establishments,—,—,No covariates,2021–2025,5,21.7 (14.0 to 29.9),< 0.001,72.05,3.53,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Series identical in both variants. Offset log(reporting establishments): per-establishment rate, not population coverage. Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 primary care: population under control for autism (December),REM P6 2021–2025,F84 without Rett,People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,41.7 (35.4 to 48.3),< 0.001,73.66,1.49,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Durbin–Watson with fewer than 8 points: weak, indicative only."
REM P6 specialty: population under control for autism (December),REM P6 2021–2025,F84 without Rett,People under control (December stock),None (count),All reporting establishments,—,—,No covariates,2021–2025,5,21.9 (18.4 to 25.5),< 0.001,28.95,3.15,Quasi-Poisson log-linear (stock growth),"December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Era 2021–2025 (autism codes); broad PDD 2019–2020 not modelled (different era). Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,No covariates,2019–2025,7,34.5 (30.9 to 38.3),< 0.001,245.33,1.60,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,No covariates,2019–2023,5,34.7 (27.1 to 42.8),< 0.001,287.84,1.46,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,2020–2021 reporting-disruption indicator,2019–2025,7,32.5 (28.8 to 36.2),< 0.001,166.10,2.19,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
PIE: students with ASD (annual school stock),MINEDUC PIE (Apuntes 60) / SINACES,Independent of Rett (identical),PIE ASD + ASD-Asperger (harmonised),None (count),National,—,—,No covariates,2021–2025,5,36.0 (30.5 to 41.6),< 0.001,255.09,1.71,Quasi-Poisson log-linear (stock growth),"2019–2023 Apuntes 60 (category sum; 2022 = 42,940 by explicit rule); 2024–2025 SINACES. December semi-annual stock; June is never summed; descriptive log-linear growth. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"DEIS: discharges with F84 principal per 100,000 discharges",DEIS hospital discharges 2019–2024,F84 without Rett,Discharges with F84 in DIAG1 (principal),log(DEIS discharges),National,All activity,Principal,No covariates,2019–2024,6,20.0 (15.1 to 25.0),< 0.001,3.20,1.89,Quasi-Poisson log-linear,"DEIS publishes DIAG1 only (DIAG2 is external cause): 'any position' = principal; compare only with GRD principal. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"DEIS: discharges with F84 principal per 100,000 discharges",DEIS hospital discharges 2019–2024,F84 without Rett,Discharges with F84 in DIAG1 (principal),log(DEIS discharges),National,All activity,Principal,No covariates,2021–2024,4,23.9 (14.6 to 33.8),< 0.001,3.73,1.98,Quasi-Poisson log-linear,"DEIS publishes DIAG1 only (DIAG2 is external cause): 'any position' = principal; compare only with GRD principal. No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
