REM module,Code,Definition era,Indicator,Dictionary label (last year found; verbatim Spanish),Dictionary section (verbatim Spanish),Meaning of COL01 (verbatim Spanish),Meaning of COL02 (verbatim Spanish),Age × sex columns (COL04–COL37),Number of COL tokens in the row,Layout check,Dictionary file (last year found),2019,2020,2021,2022,2023,2024,2025,Found only within its era
A03,09600218,2023–2024,M-CHAT-R/F second part: no referral required,Resultado M-CHAT R/F 2° Parte | No requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,09600219,2023–2024,M-CHAT-R/F second part: referral required,[Resultado M-CHAT R/F 2° Parte] Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (MCHAT-RF),16 - 30 meses | Hombres,16 - 30 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,Yes,Yes,—,Yes
A03,03700104,2024–2024,Children aged 31–59 months evaluated at the integral health check,Niños/as evaluados en Control de Salud Integral,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,—,Yes,—,Yes
A03,03700105,2024–2024,Children aged 31–59 months suspected elsewhere,Niños/as con sospecha del Espectro Autista en otros controles o consultas,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,—,Yes,—,Yes
A03,03700106,2024–2024,Autism suspicion by alert-sign guide: yes,Sospecha de TEA según pauta de señales de alerta | Sí,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,—,Yes,—,Yes
A03,03700107,2024–2024,Autism suspicion by alert-sign guide: no,[Sospecha de TEA según pauta de señales de alerta] No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,—,Yes,—,Yes
A03,03700108,2024–2024,Referral after alert-sign evaluation: yes,Derivación | Si,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,—,Yes,—,Yes
A03,03700109,2024–2024,Referral after alert-sign evaluation: no,[Derivación] No,SECCIÓN F1: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (31 A 59 MESES),31-59 meses | Hombres,31-59 meses | Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_24_V1.1.xlsm,—,—,—,—,—,Yes,—,Yes
A03,03710013,2025–2025,M-CHAT motive: altered EEDP language/social area (16–30 months),Niños y niñas con EEDP alterado en área Lenguaje y/o Social,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710014,2025–2025,M-CHAT motive: autism risk factor or alert sign (16–30 months),Niños y niñas con factor de riesgo y/o señales de alerta para TEA detectados en la Supervisión de salud,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710015,2025–2025,M-CHAT motive: both altered EEDP and autism risk/alert (16–30 months),Niños y niñas con EEDP alterado en área Lenguaje y/o Social y con factor de riesgo y/o señales de alerta para TEA detectados en la Supervisión de salud,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710016,2025–2025,M-CHAT-R/F result: low risk,Resultado aplicación M-CHAT R/F | Riego Bajo,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710017,2025–2025,M-CHAT-R/F medium risk: no diagnostic referral required,[Resultado aplicación M-CHAT R/F] Riesgo medio | No requiere derivación a evaluación diagnóstica,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710018,2025–2025,M-CHAT-R/F medium risk: diagnostic referral required,[Resultado aplicación M-CHAT R/F] Requiere derivación a evaluación diagnóstica,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710019,2025–2025,M-CHAT-R/F high risk: diagnostic referral required,[Resultado aplicación M-CHAT R/F] Riesgo Alto | Requiere derivación a evaluación diagnóstica,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA (M-CHAT R/F) 16 A 30 MESES,Hombres,Mujeres,No,6,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710020,2025–2025,Suspected autism aged 30–59 months: no diagnostic referral required,Sospecha de TEA por señales de alerta y/o factores de riesgo | No requiere derivación a evaluación diagnóstica,SECCIÓN F.1: SOSPECHA DE TRASTORNO ESPECTRO AUTISTA EN NIÑOS Y NIÑAS DE 30 A 59 MESES,Hombres,Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A03,03710021,2025–2025,Suspected autism aged 30–59 months: diagnostic referral required,[Sospecha de TEA por señales de alerta y/o factores de riesgo] Requiere derivación a evaluación diagnóstica,SECCIÓN F.1: SOSPECHA DE TRASTORNO ESPECTRO AUTISTA EN NIÑOS Y NIÑAS DE 30 A 59 MESES,Hombres,Mujeres,No,4,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,—,—,Yes,Yes
A05,06902600,2019–2020,Entry to mental-health programme: broad PDD (2019–2020),TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,43,ok,SA_20_V1.2-CODIGOS.xlsx,Yes,Yes,—,—,—,—,—,Yes
A05,05225000,2019–2020,Clinical discharge: broad PDD (2019–2020),TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,46,ok,SA_20_V1.2-CODIGOS.xlsx,Yes,Yes,—,—,—,—,—,Yes
A05,05990022,2021–2025,Entry: autism,Trastorno Generalizados del Desarrollo | Autismo,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990023,2021–2025,Entry: Asperger syndrome,[Trastorno Generalizados del Desarrollo] Asperger,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990024,2021–2025,Entry: Rett syndrome,[Trastorno Generalizados del Desarrollo] Síndrome de Rett,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990025,2021–2025,Entry: childhood disintegrative disorder,[Trastorno Generalizados del Desarrollo] Trastorno Desintegrativo de la Infancia,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990026,2021–2025,"Entry: pervasive developmental disorder, unspecified",[Trastorno Generalizados del Desarrollo] Trastorno Generalizado del Desarrollo no Específico,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD MENTAL EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990027,2021–2025,Clinical discharge: autism,Trastorno Generalizados del Desarrollo | Autismo,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990028,2021–2025,Clinical discharge: Asperger syndrome,[Trastorno Generalizados del Desarrollo] Asperger,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990029,2021–2025,Clinical discharge: Rett syndrome,[Trastorno Generalizados del Desarrollo] Síndrome de Rett,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990030,2021–2025,Clinical discharge: childhood disintegrative disorder,[Trastorno Generalizados del Desarrollo] Trastorno Desintegrativo de la Infancia,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A05,05990031,2021–2025,"Clinical discharge: pervasive developmental disorder, unspecified",[Trastorno Generalizados del Desarrollo] Trastorno Generalizado del Desarrollo no Específico,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
A27,29101566,2023–2025,Counselling in the screening context: number of M-CHAT-R/F,Consejería en contexto de tamizaje | Nº DE M-CHAT-R/F,SECCIÓN K: INTERVENCIONES POSTERIOR AL TAMIZAJE DE SALUD MENTAL,Nº de intervenciones,POR RANGO ETARIO | 0-4 años,No,15,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,Yes,Yes,Yes,Yes
A27,29101574,2023–2025,Assisted referral in the screening context: number of M-CHAT-R/F,Referencia asistida en contexto de tamizaje | Nº DE M-CHAT-R/F,SECCIÓN K: INTERVENCIONES POSTERIOR AL TAMIZAJE DE SALUD MENTAL,Nº de intervenciones,POR RANGO ETARIO | 0-4 años,No,15,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,Yes,Yes,Yes,Yes
A28,29101629,2023–2025,Entry to primary-level rehabilitation by health condition: autism,Trastorno espectro autista,SECCIÓN A.2: INGRESOS POR CONDICIÓN DE SALUD,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,41,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,Yes,Yes,Yes,Yes
A28,29101651,2023–2025,Entry to hospital-level rehabilitation by health condition: autism,Trastorno espectro autista,SECCIÓN B.1: INGRESOS Y EGRESOS A REHABILITACIÓN INTEGRAL,TOTAL | Ambos Sexos,TOTAL | Hombres,Yes,40,ok,DICCIONARIO CODIGOS SA_25_V1.5.xlsm,—,—,—,—,Yes,Yes,Yes,Yes
P2,P2500500,2019–2025,NANEAS population under control: autism spectrum disorder,Trastorno del Espectro Autista | Trastorno del Espectro Autista,"SECCION H: POBLACIÓN SEGÚN DIAGNÓSTICO DE NIÑOS, NIÑAS Y ADOLESCENTES CON NECESIDADES ESPECIALES DE ATENCIÓN EN SALUD (NANEAS) (Incluida en sección A y A1)",TOTAL | Ambos sexos,TOTAL | Hombres,Yes,45,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P2,P2501878,2023–2025,NANEAS population under control: total (from December 2023),POBLACIÓN NANEAS BAJO CONTROL,"SECCION H: POBLACIÓN SEGÚN DIAGNÓSTICO DE NIÑOS, NIÑAS Y ADOLESCENTES CON NECESIDADES ESPECIALES DE ATENCIÓN EN SALUD (NANEAS) (Incluida en sección A y A1)",TOTAL | Ambos sexos,TOTAL | Hombres,Yes,45,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,—,—,Yes,Yes,Yes,Yes
P6,P6223000,2019–2020,Broad PDD under control in primary care (2019–2020),TRASTORNO GENERALIZADOS DEL DESARROLLO,SECCION A.1: POBLACIÓN EN CONTROL EN APS AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,45,ok,SP_20_V1.0 CODIGOS.xlsm,Yes,Yes,—,—,—,—,—,Yes
P6,P6223380,2019–2020,Broad PDD under control in specialty care (2019–2020),TRASTORNO GENERALIZADOS DEL DESARROLLO,B. ATENCIÓN DE ESPECIALIDADES SECCION B.1: POBLACIÓN EN CONTROL EN ESPECIALIDAD AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,45,ok,SP_20_V1.0 CODIGOS.xlsm,Yes,Yes,—,—,—,—,—,Yes
P6,P6241010,2021–2025,Autism under control in primary care,Trastorno generalizados del desarrollo | Autismo,SECCION A.1: POBLACIÓN EN CONTROL EN APS AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241020,2021–2025,Asperger syndrome under control in primary care,[Trastorno generalizados del desarrollo] Asperger,SECCION A.1: POBLACIÓN EN CONTROL EN APS AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241030,2021–2025,Rett syndrome under control in primary care,[Trastorno generalizados del desarrollo] Síndrome de Rett,SECCION A.1: POBLACIÓN EN CONTROL EN APS AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241040,2021–2025,Childhood disintegrative disorder under control in primary care,[Trastorno generalizados del desarrollo] Trastorno desintegrativo de la infancia,SECCION A.1: POBLACIÓN EN CONTROL EN APS AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241050,2021–2025,PDD unspecified under control in primary care,[Trastorno generalizados del desarrollo] Trastorno generalizado del desarrollo no específico,SECCION A.1: POBLACIÓN EN CONTROL EN APS AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241060,2021–2025,Autism under control in specialty care,Trastorno generalizados del desarrollo | Autismo,SECCION B.1: POBLACIÓN EN CONTROL EN ESPECIALIDAD AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241070,2021–2025,Asperger syndrome under control in specialty care,[Trastorno generalizados del desarrollo] Asperger,SECCION B.1: POBLACIÓN EN CONTROL EN ESPECIALIDAD AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241080,2021–2025,Rett syndrome under control in specialty care,[Trastorno generalizados del desarrollo] Síndrome de rett,SECCION B.1: POBLACIÓN EN CONTROL EN ESPECIALIDAD AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241090,2021–2025,Childhood disintegrative disorder under control in specialty care,[Trastorno generalizados del desarrollo] Trastorno desintegrativo de la infancia,SECCION B.1: POBLACIÓN EN CONTROL EN ESPECIALIDAD AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
P6,P6241100,2021–2025,PDD unspecified under control in specialty care,[Trastorno generalizados del desarrollo] Trastono generalizado del desarrollo no específico,SECCION B.1: POBLACIÓN EN CONTROL EN ESPECIALIDAD AL CORTE,T O T A L | Ambos sexos,T O T A L | Hombres,Yes,48,ok,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,—,—,Yes,Yes,Yes,Yes,Yes,Yes
