REM module,Code,Indicator,Definition era,Measure,2019,2020,2021,2022,2023,2024,2025
A-A05,05990027,A05 mental-health exits (clinical discharges): strict autism,2021–2025,Flow: annual sum,code not in force,code not in force,494; 207; 240,831; 307; 316,"1,814; 438; 689","3,315; 625; 782","3,367; 624; 1,042"
A-A27,29101566,Counselling in the screening context: number of M-CHAT-R/F,2023–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"2,380; 150; 1,498","3,874; 180; 2,317","3,026; 169; 1,815"
A-A27,29101574,Assisted referral in the screening context: number of M-CHAT-R/F,2023–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,672; 98; 451,"1,068; 118; 642",878; 114; 514
A-A28,29101629,Entry to primary-level rehabilitation by health condition: autism,2023–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,"3,962; 264; 2,220","7,033; 313; 3,741","15,859; 359; 7,267"
A-A28,29101651,Entry to hospital-level rehabilitation by health condition: autism,2023–2025,Flow: annual sum,code not in force,code not in force,code not in force,code not in force,731; 39; 653,"1,045; 50; 923","1,740; 43; 1,485"
P-P2,P2500500,Autism spectrum disorder population under control,2019–2025,Stock: December,"1,854; 460; 1,040","1,919; 400; 1,154","3,853; 640; 1,748","7,923; 897; 2,997","13,190; 1,012; 4,711","21,737; 1,218; 6,849","29,974; 1,325; 9,128"
P-P2,P2500500,Autism spectrum disorder population under control,2019–2025,Stock: June (sensitivity),"1,502; 374; 102",172; 28; 122,"2,434; 475; 138","5,364; 765; 260","10,523; 980; 487","17,743; 1,168; 582","26,195; 1,256; 1,373"
P-P2,P2501878,Total NANEAS population under control,2023–2025,Stock: December,code not in force,code not in force,code not in force,code not in force,"59,907; 1,187; 52,901","77,081; 1,293; 67,127","100,789; 1,394; 84,833"
P-P2,P2501878,Total NANEAS population under control,2023–2025,Stock: June (sensitivity),code not in force,code not in force,code not in force,code not in force,not reported,"64,833; 1,261; n/e","84,281; 1,342; n/e"
P-P6,P6223000,P6 population under control in primary care: broad PDD (pre-2021),2019–2020,Stock: December,"5,520; 727; 4,837","5,185; 695; 4,752",code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6223000,P6 population under control in primary care: broad PDD (pre-2021),2019–2020,Stock: June (sensitivity),"4,864; 707; 614",725; 53; 656,code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6223380,P6 population under control in specialty care: broad PDD (pre-2021),2019–2020,Stock: December,"6,624; 111; 6,087","6,905; 121; 6,250",code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6223380,P6 population under control in specialty care: broad PDD (pre-2021),2019–2020,Stock: June (sensitivity),"6,221; 109; 5,118","5,543; 105; 5,042",code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6241010+P6241020+P6241040+P6241050,P6 population under control in primary care: PDD family (F84 excluding Rett syndrome),2021–2025,Stock: December,code not in force,code not in force,"6,237; 815; 5,532","10,298; 948; 8,685","14,895; 1,103; 12,425","20,911; 1,258; 16,515","27,319; 1,344; 21,144"
P-P6,P6241010+P6241020+P6241040+P6241050,P6 population under control in primary care: PDD family (F84 excluding Rett syndrome),2021–2025,Stock: June (sensitivity),code not in force,code not in force,"5,623; 734; 4,331","7,523; 864; 6,090","12,010; 1,018; 9,080","19,618; 1,182; 13,155","23,138; 1,279; 15,326"
P-P6,P6241060+P6241070+P6241090+P6241100,P6 population under control in specialty care: PDD family (F84 excluding Rett syndrome),2021–2025,Stock: December,code not in force,code not in force,"9,163; 132; 7,170","10,719; 134; 9,113","13,653; 148; 11,100","15,304; 158; 11,161","20,365; 169; 14,951"
P-P6,P6241060+P6241070+P6241090+P6241100,P6 population under control in specialty care: PDD family (F84 excluding Rett syndrome),2021–2025,Stock: June (sensitivity),code not in force,code not in force,"8,933; 126; 6,582","9,606; 126; 7,098","12,694; 144; 9,396","15,766; 157; 11,160","16,120; 159; 10,710"
P-P6,P6223000,Pervasive developmental disorders under control in primary care,2019–2020,Stock: December,"5,520; 727; 4,837","5,185; 695; 4,752",code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6223000,Pervasive developmental disorders under control in primary care,2019–2020,Stock: June (sensitivity),"4,864; 707; 614",725; 53; 656,code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6223380,Pervasive developmental disorders under control in specialty care,2019–2020,Stock: December,"6,624; 111; 6,087","6,905; 121; 6,250",code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6223380,Pervasive developmental disorders under control in specialty care,2019–2020,Stock: June (sensitivity),"6,221; 109; 5,118","5,543; 105; 5,042",code not in force,code not in force,code not in force,code not in force,code not in force
P-P6,P6241010,Autism under control in primary care,2021–2025,Stock: December,code not in force,code not in force,"2,257; 482; 1,853","5,042; 704; 3,629","9,717; 956; 6,359","15,934; 1,160; 9,152","21,843; 1,274; 11,783"
P-P6,P6241010,Autism under control in primary care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"1,448; 359; 1,130","3,264; 592; 1,943","7,199; 835; 3,704","13,996; 1,061; 6,131","18,013; 1,204; 7,163"
P-P6,P6241020,Asperger syndrome under control in primary care,2021–2025,Stock: December,code not in force,code not in force,"1,265; 385; 409","2,016; 425; 492","1,621; 434; 633","1,602; 408; 603","1,345; 323; 563"
P-P6,P6241020,Asperger syndrome under control in primary care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"1,109; 323; 428","1,465; 406; 562","1,621; 444; 575","2,157; 422; 609","1,594; 350; 608"
P-P6,P6241030,Rett syndrome under control in primary care,2021–2025,Stock: December,code not in force,code not in force,508; 41; 36,425; 31; 36,234; 31; 28,252; 36; 11,150; 33; 9
P-P6,P6241030,Rett syndrome under control in primary care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"1,605; 45; 66",249; 33; 68,171; 31; 71,278; 35; 95,329; 34; 93
P-P6,P6241040,Childhood disintegrative disorder under control in primary care,2021–2025,Stock: December,code not in force,code not in force,66; 28; 10,80; 36; 13,390; 39; 19,348; 46; 21,922; 41; 56
P-P6,P6241040,Childhood disintegrative disorder under control in primary care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,59; 26; 7,72; 28; 7,48; 27; 5,265; 41; 6,321; 37; 7
P-P6,P6241050,"Pervasive developmental disorder, unspecified, under control in primary care",2021–2025,Stock: December,code not in force,code not in force,"2,649; 410; 1,447","3,160; 451; 1,598","3,167; 463; 1,820","3,027; 450; 1,931","3,209; 473; 1,959"
P-P6,P6241050,"Pervasive developmental disorder, unspecified, under control in primary care",2021–2025,Stock: June (sensitivity),code not in force,code not in force,"3,007; 374; 1,339","2,722; 428; 1,306","3,142; 459; 1,508","3,200; 451; 1,767","3,210; 439; 1,574"
P-P6,P6241060,Autism under control in specialty care,2021–2025,Stock: December,code not in force,code not in force,"3,562; 95; 3,027","4,684; 113; 3,754","7,982; 129; 5,913","8,835; 144; 5,733","12,645; 153; 8,369"
P-P6,P6241060,Autism under control in specialty care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"3,204; 90; 2,561","4,427; 102; 3,262","6,624; 123; 4,662","9,262; 139; 5,978","9,940; 142; 5,823"
P-P6,P6241070,Asperger syndrome under control in specialty care,2021–2025,Stock: December,code not in force,code not in force,"1,498; 84; 972","1,716; 89; 1,106","1,882; 99; 1,328","2,120; 97; 1,377","2,834; 86; 2,288"
P-P6,P6241070,Asperger syndrome under control in specialty care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"1,417; 69; 673","1,570; 81; 894","1,922; 96; 1,125","1,947; 104; 983","1,730; 94; 957"
P-P6,P6241080,Rett syndrome under control in specialty care,2021–2025,Stock: December,code not in force,code not in force,6; 5; n/e,12; 9; n/e,7; 4; n/e,7; 6; n/e,6; 6; n/e
P-P6,P6241080,Rett syndrome under control in specialty care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,40; 6; n/e,13; 6; n/e,16; 3; n/e,20; 8; n/e,4; 3; n/e
P-P6,P6241090,Childhood disintegrative disorder under control in specialty care,2021–2025,Stock: December,code not in force,code not in force,31; 9; n/e,20; 8; n/e,117; 11; n/e,125; 9; n/e,180; 13; n/e
P-P6,P6241090,Childhood disintegrative disorder under control in specialty care,2021–2025,Stock: June (sensitivity),code not in force,code not in force,35; 3; n/e,27; 5; n/e,113; 7; n/e,142; 10; n/e,126; 7; n/e
P-P6,P6241100,"Pervasive developmental disorder, unspecified, under control in specialty care",2021–2025,Stock: December,code not in force,code not in force,"4,072; 109; 2,111","4,299; 106; 2,922","3,672; 108; 2,363","4,224; 115; 2,531","4,706; 122; 2,410"
P-P6,P6241100,"Pervasive developmental disorder, unspecified, under control in specialty care",2021–2025,Stock: June (sensitivity),code not in force,code not in force,"4,277; 101; 2,328","3,582; 103; 1,793","4,035; 109; 2,355","4,415; 118; 2,334","4,324; 115; 2,144"
P-P6,P6241010,P6 population under control in primary care: strict autism,2021–2025,Stock: December,code not in force,code not in force,"2,257; 482; 1,853","5,042; 704; 3,629","9,717; 956; 6,359","15,934; 1,160; 9,152","21,843; 1,274; 11,783"
P-P6,P6241010,P6 population under control in primary care: strict autism,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"1,448; 359; 1,130","3,264; 592; 1,943","7,199; 835; 3,704","13,996; 1,061; 6,131","18,013; 1,204; 7,163"
P-P6,P6241060,P6 population under control in specialty care: strict autism,2021–2025,Stock: December,code not in force,code not in force,"3,562; 95; 3,027","4,684; 113; 3,754","7,982; 129; 5,913","8,835; 144; 5,733","12,645; 153; 8,369"
P-P6,P6241060,P6 population under control in specialty care: strict autism,2021–2025,Stock: June (sensitivity),code not in force,code not in force,"3,204; 90; 2,561","4,427; 102; 3,262","6,624; 123; 4,662","9,262; 139; 5,978","9,940; 142; 5,823"
