Source,Indicator,Year / key,Expected (protocol),Observed (pipeline),Difference,Status,Explanation
Public GRD 2019–2024 (module 01),"Mean coding depth, F84 episodes",2019; 2024,5.00 / 6.04,4.9979 / 6.0352,−0.0021 (−0.04%) / −0.0048 (−0.08%),2/2 match,Mean number of coded diagnoses among episodes with documented F84 (with-Rett variant); the protocol rounds to two decimals (0.5% tolerance).
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2019–2024,"1,983 / 1,338 / 1,979 / 3,265 / 5,268 / 7,214","1,982 / 1,338 / 1,979 / 3,264 / 5,267 / 7,213",−1 (−0.05%) / 0 / 0 / −1 (−0.03%) / −1 (−0.02%) / −1 (−0.01%),"2/6 match; differ: 2019, 2022, 2023, 2024","Differs by exactly 1: 4 F84 episode(s) without a valid identifier (SIN INFORMACIÓN × 4) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 1,983). Unique persons within the year only; never deduplicated across years.; Differs by exactly 1: 3 F84 episode(s) without a valid identifier (DESCONOCIDO × 3) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 3,265). Unique persons within the year only; never deduplicated across years.; Differs by exactly 1: 2 F84 episode(s) without a valid identifier (DESCONOCIDO × 2) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 5,268). Unique persons within the year only; never deduplicated across years.; Differs by exactly 1: 1 F84 episode(s) without a valid identifier (DESCONOCIDO × 1) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 7,214). Unique persons within the year only; never deduplicated across years."
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2019–2024,"1,983 / 1,338 / 1,979 / 3,265 / 5,268 / 7,214","1,983 / 1,338 / 1,979 / 3,265 / 5,268 / 7,214",0,6/6 match,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme entries for autism (05990022),"2021–2025 (05990022, annual sum)","2,085 / 4,640 / 8,049 / 11,842 / 13,155","2,085 / 4,640 / 8,049 / 11,842 / 13,155",0,5/5 match,"Annual sum of COL01 (both sexes) over the rows present for code 05990022, no deduplication; strict-autism series identical in both variants. Reporting establishments: 449 / 658 / 920 / 1,070 / 952."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme discharges for autism (05990027),"2021–2025 (05990027, annual sum)","494 / 831 / 1,814 / 3,315 / 3,367","494 / 831 / 1,814 / 3,315 / 3,367",0,5/5 match,"Annual sum of COL01 over the rows present for code 05990027, no deduplication; a flow, not a stock. Reporting establishments: 207 / 307 / 438 / 625 / 624."
REM Series A / Series P 2019–2025 (module 02),"A27: M-CHAT-R/F counselling (29101566), interventions","2023–2025 (29101566, annual sum)","2,380 / 3,874 / 3,026","2,380 / 3,874 / 3,026",0,3/3 match,"Annual sum of COL01 (number of interventions, not persons) for code 29101566, which exists from 2023. Reporting establishments: 150 / 180 / 169."
REM Series A / Series P 2019–2025 (module 02),"A27: assisted M-CHAT-R/F referrals (29101574), interventions","2023–2025 (29101574, annual sum)","672 / 1,068 / 878","672 / 1,068 / 878",0,3/3 match,"Annual sum of COL01 (interventions) for code 29101574, which exists from 2023; not a between-stage ratio. Reporting establishments: 98 / 118 / 114."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to primary-care rehabilitation (29101629),"2023–2025 (29101629, annual sum)","3,962 / 7,033 / 15,859","3,962 / 7,033 / 15,859",0,3/3 match,"Annual sum of COL01 for code 29101629, which exists from 2023. Reporting establishments: 264 / 313 / 359."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to hospital rehabilitation (29101651),"2023–2025 (29101651, annual sum)","731 / 1,045 / 1,740","731 / 1,045 / 1,740",0,3/3 match,"Annual sum of COL01 for code 29101651, which exists from 2023. Reporting establishments: 39 / 50 / 43."
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2019–2025 (P2500500, December stock)","1,854 / 1,919 / 3,853 / 7,923 / 13,190 / 21,737 / 29,974","1,854 / 1,919 / 3,853 / 7,923 / 13,190 / 21,737 / 29,974",0,7/7 match,"December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 460 / 400 / 640 / 897 / 1,012 / 1,218 / 1,325."
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2019–2025 (P2500500, December stock)","460 / 400 / 640 / 897 / 1,012 / 1,218 / 1,325","460 / 400 / 640 / 897 / 1,012 / 1,218 / 1,325",0,7/7 match,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),"P2: total NANEAS under control, December (P2501878)","2023–2025 (P2501878, December stock)","59,907 / 77,081 / 100,789","59,907 / 77,081 / 100,789",0,3/3 match,"December stock (COL01) for code P2501878, which exists from December 2023 (no June 2023 row: not reported, not zero); internal P2 denominator from 2023 only. Reporting establishments: 1,187 / 1,293 / 1,394."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2019–2020 (P6223000, December stock); 2021–2025 (P6241010, December stock)","5,520 / 5,185 / 2,257 / 5,042 / 9,717 / 15,934 / 21,843","5,520 / 5,185 / 2,257 / 5,042 / 9,717 / 15,934 / 21,843",0,7/7 match,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 727 / 695 / 482 / 704 / 956 / 1,160 / 1,274."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in specialty care, December (broad PDD P6223380 in 2019–2020; autism P6241060 from 2021)","2019–2020 (P6223380, December stock); 2021–2025 (P6241060, December stock)","6,624 / 6,905 / 3,562 / 4,684 / 7,982 / 8,835 / 12,645","6,624 / 6,905 / 3,562 / 4,684 / 7,982 / 8,835 / 12,645",0,7/7 match,December stock (COL01); definition break between 2020 (broad PDD) and 2021 (strict autism): not a continuous series. Reporting establishments: 111 / 121 / 95 / 113 / 129 / 144 / 153.
REM Series A / Series P 2019–2025 (module 02),A03 2019–2022: M-CHAT administered (03500406),"2019–2022 (03500406, annual sum)","2,613 / 816 / 1,833 / 3,455","2,613 / 816 / 1,833 / 3,455",0,4/4 match,Annual sum of COL01 + COL02 (males + females) over the cells present; the code is restricted to children with language or social alterations and does not estimate population coverage. Reporting establishments: 263 / 198 / 273 / 399.
REM Series A / Series P 2019–2025 (module 02),A03 2019–2022: altered M-CHAT (03500407),"2019–2022 (03500407, annual sum)","1,640 / 288 / 879 / 1,535","1,640 / 288 / 879 / 1,535",0,4/4 match,Annual sum of COL01 + COL02 over the cells present (31% of A03 rows have one empty sex cell); not population positivity. Reporting establishments: 188 / 134 / 230 / 315.
REM Series A / Series P 2019–2025 (module 02),A03 2023–2024: low risk (09600213),"2023–2024 (09600213, annual sum)","14,083 / 18,142","14,083 / 18,142",0,2/2 match,"Annual sum of COL01 + COL02 over the cells present; new 2023–2024 code family, not comparable with the 2019–2022 M-CHAT nor with the 2025 redesign. Reporting establishments: 880 / 1,082."
REM Series A / Series P 2019–2025 (module 02),A03 2023–2024: medium risk (09600214),"2023–2024 (09600214, annual sum)","3,642 / 4,698","3,642 / 4,698",0,2/2 match,"Annual sum of COL01 + COL02 over the cells present; new 2023–2024 code family, not comparable with the 2019–2022 M-CHAT nor with the 2025 redesign. Reporting establishments: 627 / 734."
REM Series A / Series P 2019–2025 (module 02),A03 2023–2024: high risk (09600215),"2023–2024 (09600215, annual sum)","1,907 / 2,234","1,907 / 2,234",0,2/2 match,"Annual sum of COL01 + COL02 over the cells present; new 2023–2024 code family, not comparable with the 2019–2022 M-CHAT nor with the 2025 redesign. Reporting establishments: 478 / 552."
Denominators and coverage (module 03),FONASA: beneficiaries in December,2019–2025,"14,841,577 / 15,142,528 / 15,233,814 / 15,613,584 / 16,229,898 / 16,752,189 / 17,132,611","14,841,577 / 15,142,528 / 15,233,814 / 15,613,584 / 16,229,898 / 16,752,189 / 17,132,611",0,7/7 match,"Sum of beneficiaries in the aggregated December file; repeated rows are kept because they are additive (32,175 repeated rows this year). Insurance layer (mixes primary-care enrolment and residence)."
Denominators and coverage (module 03),"Primary-care (APS) enrolled persons, December",2019–2025,"13,777,051 / 13,885,509 / 14,100,841 / 14,522,464 / 15,051,673 / 15,353,689 / 15,791,862","13,777,051 / 13,885,509 / 14,100,841 / 14,522,464 / 15,051,673 / 15,353,689 / 15,791,862",0,7/7 match,"Sum of TOTAL_INSCRITOS in the December cut (Inscritos_APS_YYYY12.csv); operational coverage by centre (place of care, not residence)."
Denominators and coverage (module 03),"Primary-care centres with enrolled persons, December",2019–2025,"1,890 / 1,956 / 1,984 / 2,026 / 2,057 / 2,078 / 2,091","1,890 / 1,956 / 1,984 / 2,026 / 2,057 / 2,078 / 2,091",0,7/7 match,Distinct centre codes in the December cut.
Denominators and coverage (module 03),ISAPRE: beneficiaries in December,2019–2025,"3,431,126 / 3,339,226 / 3,330,254 / 3,151,885 / 2,788,257 / 2,630,026 / 2,517,305","3,431,126 / 3,339,226 / 3,330,254 / 3,151,885 / 2,788,257 / 2,630,026 / 2,517,305",0,7/7 match,National total of ISAPRE beneficiaries in December (2019–2020 .xls: contributors + dependants + unborn; from 2021 .xlsx: total contributors + total dependants); administrative geography of the beneficiary.
Denominators and coverage (module 03),INE: projected national population (Census 2017 base),2019; 2025,"19,107,216 / 20,206,953","19,107,216 / 20,206,953",0,2/2 match,"INE projections, Census 2017 base, at 30 June, sum over comuna × sex × single age (346 comunas); territorial layer (residence)."
Denominators and coverage (module 03),REM-20: discharge retention of the 188-establishment panel,2019; 2025,0.9976 / 0.9816,0.997603 / 0.981629,+0.000003 (+0.00%) / +0.000029 (+0.00%),2/2 match,"Discharges of the 188 establishments with 12 reported months in every year 2019–2025 / total discharges of the year (proportion); capacity and activity, not covered population."
Denominators and coverage (module 03),"APS: enrolment retention of the 1,871-centre panel",2019; 2025,0.9987 / 0.9754,0.998730 / 0.975426,+0.000030 (+0.00%) / +0.000026 (+0.00%),2/2 match,"Enrolled persons of the 1,871 centres present in all seven December cuts / total enrolled persons of the year (proportion)."
ENDIDE 2022 / ENCAVI 2023–2024 surveys (module 04),ENDIDE 2022: unweighted cases of reported autism,Adults aged 18+ (reported autism); Children and adolescents aged 2–17 (reported autism); Children and adolescents aged 2–17 with professional confirmation,72 / 163 / 139,72 / 163 / 139,0,3/3 match,"Unweighted count in the selected-persons file (adults: c26_33 = 1 among 18+; children: n29_19 = 1 among 2–17; confirmation: n29a_19 = 1); national estimates use the complex design, never this count."
ENDIDE 2022 / ENCAVI 2023–2024 surveys (module 04),ENCAVI 2023–2024: positive responses and file size,"Positive responses (autism diagnosis, 15+); Persons aged 15+ in the file","80 / 16,590","80 / 16,590",0,2/2 match,"Unweighted count (p4_6_1_h = 1) and rows of the 15+ file (manual: 16,590 cases); the published proportion is recomputed with weight, strata and clusters."
Education PIE / SINACES / JUNAEB (module 05),PIE: students with TEA (strict definition),2019–2023,"11,877 / 13,613 / 18,801 / 28,845 / 47,551","11,877 / 13,613 / 18,801 / 28,845 / 47,551",0,5/5 match,"Apuntes 60 (MINEDUC), Table 6, p. 11, extracted from the PDF with pdftotext; annual school stock, not prevalence."
Education PIE / SINACES / JUNAEB (module 05),PIE: students with TEA-Asperger,2019–2023,"9,135 / 9,977 / 12,081 / 14,095 / 16,091","9,135 / 9,977 / 12,081 / 14,095 / 16,091",0,5/5 match,"Apuntes 60 (MINEDUC), Table 6, p. 11; definition kept separate from strict TEA."
Education PIE / SINACES / JUNAEB (module 05),PIE: harmonised TEA + TEA-Asperger series (2019–2023) and SINACES (2024–2025),2019–2025,"21,012 / 23,590 / 30,882 / 42,940 / 63,642 / 86,475 / 106,786","21,012 / 23,590 / 30,882 / 42,940 / 63,642 / 86,475 / 106,786",0,7/7 match,"TEA + TEA-Asperger sum from Apuntes 60 for 2019–2023 and harmonised PIE from the SINACES report for 2024–2025; 2022 = 42,940 (45,014 − 2,074 special schools), not the 42,945 printed in SINACES."
Education PIE / SINACES / JUNAEB (module 05),Autistic students in special schools (SINACES),2024–2025,"2,505 / 2,626","2,505 / 2,626",0,2/2 match,"SINACES report, Table 1, p. 8."
Education PIE / SINACES / JUNAEB (module 05),JUNAEB EVE 2024: students with caregiver-reported TEA (unweighted),Pre-school (parvularia); 1st grade (1.º básico); 5th grade (5.º básico),"17,641 / 10,245 / 7,468","17,641 / 10,245 / 7,468",0,3/3 match,"Unweighted count by level; 9th grade 2024 not estimable (empty variable, not zero). Selected school cohorts, not national prevalence."
Education PIE / SINACES / JUNAEB (module 05),JUNAEB EVE 2025: students with caregiver-reported TEA (unweighted),Pre-school (parvularia); 1st grade (1.º básico); 5th grade (5.º básico); 9th grade (1.º medio),"18,785 / 12,536 / 9,887 / 9,164","18,785 / 12,536 / 9,887 / 9,164",0,4/4 match,Unweighted count by level; the proportions in the article use the EXP weight.
Public GRD 2019–2024 (module 01),Exact duplicates among F84 episodes on the 45 analysed columns (module control; the expected value is not in the protocol),2020,0,1,+1,0/1 match; differ: 2020,"In 2020 one pair of F84 rows is identical on the 45 analysed columns but differs in ETNIA, MEDICOALTA_ENCRIPTADO, RN1ESTADO, RN2ESTADO, RN3ESTADO, RN4ESTADO; no full-row duplicate (129 columns) exists. Kept as two episodes: every control and output uses the no-removal counts (1,633 versus 1,632 if removed). The expected 0 is a data-quality expectation, not an official total."
"DEIS discharges 2019–2024, cross-check (module 01b)","Strict F84 hospitalisation, observed panel (GRD as read by the DEIS module) vs protocol (module control; the expected value is not in the protocol)",2023–2024,"5,797 / 7,500","5,842 / 7,705",+45 (+0.8%) / +205 (+2.7%),"0/2 match; differ: 2023, 2024",Cross-module check by the DEIS module on grd_year_summary.csv: reproduces the same discrepancy as the GRD module (observed panel of 68/72 hospitals versus the fixed panel of 65 used by the protocol for 2023–2024); the fixed × hospitalisation row of the same module matches exactly. Not a reading error.
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year (valid identifier) (module control; the expected value is not in the protocol),2019; 2022–2024,"1,983 / 3,265 / 5,268 / 7,214","1,982 / 3,264 / 5,267 / 7,213",−1 (−0.05%) / −1 (−0.03%) / −1 (−0.02%) / −1 (−0.01%),"0/4 match; differ: 2019, 2022, 2023, 2024",Module note: persons with a valid identifier; the brief counts the invalid-identifier placeholder as one extra person (module 01); F84 episodes without a valid identifier = 4; Module note: persons with a valid identifier; the brief counts the invalid-identifier placeholder as one extra person (module 01); F84 episodes without a valid identifier = 3; Module note: persons with a valid identifier; the brief counts the invalid-identifier placeholder as one extra person (module 01); F84 episodes without a valid identifier = 2; Module note: persons with a valid identifier; the brief counts the invalid-identifier placeholder as one extra person (module 01); F84 episodes without a valid identifier = 1
Denominators and coverage (module 03),REM-20: duplicated establishment-area-month rows (module control; the expected value is not in the protocol),2019–2025,0,1,+1,0/1 match; differ: 2019–2025,"REM-20 source anomaly: one duplicated establishment-area-month row (Hospital Comunitario de Laja, code 120105, June 2020, area 407: one all-zero row and one data row). Kept because it is additive and does not alter the 188-establishment panel or the retention shares; the expected 0 is a data-quality expectation, not an official total."
