Estimand,Source,Variant,Outcome (numerator),Denominator / offset,Panel,Activity,Code position,Covariates,Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Durbin–Watson,Model family,Note
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,Mean coding depth (centred),2019–2024,6,58.1 (46.2 to 71.0),< 0.001,7.91,3.69,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,33.5 (28.7 to 38.5),< 0.001,14.23,3.15,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,63.3 (20.5 to 121.3),0.002,11.57,3.60,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,No covariates,2021–2024,4,40.9 (32.4 to 49.8),< 0.001,20.40,2.43,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Any position,Mean coding depth (centred),2021–2024,4,53.8 (34.4 to 76.0),< 0.001,13.71,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,No covariates,2019–2024,6,17.2 (11.6 to 23.0),< 0.001,2.83,2.00,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,Mean coding depth (centred),2019–2024,6,30.7 (15.3 to 48.2),< 0.001,1.81,1.44,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,14.5 (11.0 to 18.2),< 0.001,0.98,1.38,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,−1.5 (−28.6 to 36.0),0.928,1.04,2.28,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,No covariates,2021–2024,4,17.0 (5.7 to 29.5),0.003,3.92,2.04,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,Strict hospitalisation,Principal,Mean coding depth (centred),2021–2024,4,37.8 (31.4 to 44.6),< 0.001,0.14,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,No covariates,2019–2024,6,36.1 (30.1 to 42.5),< 0.001,34.13,1.73,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth (centred),2019–2024,6,47.1 (41.0 to 53.6),< 0.001,6.72,3.61,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,33.1 (28.4 to 37.9),< 0.001,15.97,2.82,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,59.0 (36.5 to 85.3),< 0.001,6.54,3.41,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,No covariates,2021–2024,4,40.5 (34.0 to 47.2),< 0.001,12.83,2.63,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Any position,Mean coding depth (centred),2021–2024,4,44.6 (34.3 to 55.6),< 0.001,12.63,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,No covariates,2019–2024,6,14.9 (10.5 to 19.5),< 0.001,1.90,2.02,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,Mean coding depth (centred),2019–2024,6,20.4 (12.1 to 29.2),< 0.001,1.47,1.58,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,13.2 (9.9 to 16.5),< 0.001,0.91,1.50,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,−0.3 (−17.7 to 20.9),0.978,0.74,2.56,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,No covariates,2021–2024,4,14.5 (4.7 to 25.3),0.003,3.00,2.04,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,All activity,Principal,Mean coding depth (centred),2021–2024,4,22.2 (19.4 to 25.1),< 0.001,0.10,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,No covariates,2019–2024,6,37.3 (30.7 to 44.4),< 0.001,35.55,1.82,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,Mean coding depth (centred),2019–2024,6,58.2 (46.6 to 70.8),< 0.001,7.72,3.70,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,33.7 (28.8 to 38.8),< 0.001,14.77,3.12,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,63.9 (23.1 to 118.1),< 0.001,11.20,3.60,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,No covariates,2021–2024,4,41.2 (32.7 to 50.2),< 0.001,20.41,2.46,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Any position,Mean coding depth (centred),2021–2024,4,54.0 (35.2 to 75.4),< 0.001,13.28,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,No covariates,2019–2024,6,17.4 (11.8 to 23.2),< 0.001,2.78,2.00,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,Mean coding depth (centred),2019–2024,6,30.8 (15.9 to 47.6),< 0.001,1.72,1.45,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,2020–2021 reporting-disruption indicator,2019–2024,6,14.7 (11.3 to 18.3),< 0.001,0.90,1.39,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,0.5 (−25.5 to 35.8),0.972,0.98,2.24,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,No covariates,2021–2024,4,17.4 (6.1 to 29.8),0.002,3.80,2.04,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84 without Rett,Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Fixed panel of 65 hospitals,Strict hospitalisation,Principal,Mean coding depth (centred),2021–2024,4,37.3 (29.9 to 45.2),< 0.001,0.19,3.41,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2019–2024,6,43.6 (38.4 to 49.1),< 0.001,16.93,2.54,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth (centred),2019–2024,6,50.2 (40.0 to 61.2),< 0.001,13.42,2.95,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,2020–2021 reporting-disruption indicator,2019–2024,6,41.4 (35.9 to 47.2),< 0.001,14.02,3.39,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth + 2020–2021 disruption indicator,2019–2024,6,48.2 (8.7 to 102.2),0.013,20.09,3.07,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). The 2020–2021 indicator describes reporting disruption; it is not a causal effect. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,No covariates,2021–2024,4,42.9 (34.7 to 51.6),< 0.001,16.63,2.69,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 in any position,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Any position,Mean coding depth (centred),2021–2024,4,48.1 (33.9 to 63.9),< 0.001,18.19,3.40,Quasi-Poisson log-linear,"One residual degree of freedom: dispersion very unstable. No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,No covariates,2019–2024,6,15.5 (12.7 to 18.5),< 0.001,0.56,1.75,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
"GRD: episodes with documented F84 per 100,000 GRD episodes",Public GRD 2019–2024,F84.0 only (identical in both variants),Episodes with F84 as principal diagnosis,"log(GRD episodes, same panel and activity)",Observed annual panel,All activity,Principal,Mean coding depth (centred),2019–2024,6,17.0 (10.4 to 23.9),< 0.001,0.69,1.52,Quasi-Poisson log-linear,"No specification estimates an effect of Law 21.545. Coding depth = mean coded diagnoses per episode (model's panel and activity). Small numerator (principal F84): wide CI. Series identical in both variants. Durbin–Watson with fewer than 8 points: weak, indicative only."
