File identifier,Kind,Label in the documents,Where it is used,File,Title,Associated data file,Current use
figS15_controls,Figure,Figure S15,supplementary figure,sin_rett/en/figures/figS15_controls.png,Reproduction controls: pre-specified protocol values vs values reproduced by the pipeline — F84 without Rett variant,S15_controls_scatter.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS1_grd_variants,Figure,Figure S1,supplementary figure,sin_rett/en/figures/figS1_grd_variants.png,"Sensitivity of the GRD series to the inclusion of Rett syndrome (F84.2): full F84 versus F84 without Rett, 2019–2024",n/e,08a_figures_grd.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS2_grd_subcodes,Figure,Figure S2,supplementary figure,sin_rett/en/figures/figS2_grd_subcodes.png,"F84 subcode composition and code position in GRD episodes, 2019–2024 — F84 without Rett variant",n/e,08a_figures_grd.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS3_grd_hospital_effects,Figure,Figure S3,supplementary figure,sin_rett/en/figures/figS3_grd_hospital_effects.png,"Heterogeneity across GRD hospitals: hospital effects, coding depth and rates 2019 versus 2024 — F84 without Rett variant",n/e,06_models.py|08a_figures_grd.py|16_extra_tables.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS4_grd_model_sensitivities,Figure,not used in the documents,not used in the documents,sin_rett/en/figures/figS4_grd_model_sensitivities.png,"Sensitivity of the annual percent change (APC) of GRD episodes with documented F84 to panel, activity, covariates, window and unit of analysis — F84 without Rett variant",n/e,08a_figures_grd.py|17_extended_material.py|prose_en.py
figS4_models_cpa,Figure,Figure S4,supplementary figure,sin_rett/en/figures/figS4_models_cpa.png,"Quasi-Poisson models of administrative recognition of autism: GRD, REM, education and DEIS, Chile 2019–2025 — F84 without Rett variant",n/e,06_models.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS5_rem_june_december,Figure,Figure S5,supplementary figure,sin_rett/en/figures/figS5_rem_june_december.png,"REM June versus December stocks (P2 ASD, P6 primary care and specialty), 2019–2025: semester sensitivity, never summed — F84 without Rett variant",S5_june_december.csv,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS6_rem_stable_panel,Figure,Figure S6,supplementary figure,sin_rett/en/figures/figS6_rem_stable_panel.png,"Stable establishment panel versus all reporting establishments in REM A05, P2 and P6, 2019–2025 — F84 without Rett variant",S6_stable_panel.csv,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS7_a05_standardised_rates,Figure,not used in the documents,not used in the documents,sin_rett/en/figures/figS7_a05_standardised_rates.png,"REM A05 entries per 100,000 population: crude and WHO age-standardised rates by sex and year, 2021–2025, with broad PDD 2019–2020 as sensitivity — F84 without Rett variant",S7_a05_standardised_rates.csv,08b_figures_rem.py|17_extended_material.py|prose_en.py
figS7_rem_education_models,Figure,Figure S7,supplementary figure,sin_rett/en/figures/figS7_rem_education_models.png,"REM A05 by age and sex, P2/P6 stocks and PIE: standardised rates and log-linear fits, 2019–2025 — F84 without Rett variant",S7_a05_standardised_rates.csv,06_models.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS8_a05_age_sex,Figure,Figure S8,supplementary figure,sin_rett/en/figures/figS8_a05_age_sex.png,"REM A05 entries by age group and sex per year, 2021–2025: strict autism and the variant's PDD family — F84 without Rett variant",S8_a05_age_sex.csv,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
figS9_regional_maps,Figure,Figure S9,supplementary figure,sin_rett/en/figures/figS9_regional_maps.png,Regional distribution of administrative recognition: GRD by region of residence (both variants) and REM A05 by region of establishment — F84 without Rett variant,S9_regional_rates.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
E11_rem_a03_codes_by_era,Additional supplementary figure,Figure S26,supplementary figure,sin_rett/en/extra/figures/E11_rem_a03_codes_by_era.png,"A03 in detail: every primary-care autism screening code by definition era, Chile 2019–2025 — F84 family excluding Rett syndrome",E11_grd_territory_region.csv|E11_rem_a03_codes_by_era.csv,14_extra_figures_rem.py|16_extra_tables.py
E12_rem_a03_risk_referral,Additional supplementary figure,Figure S27,supplementary figure,sin_rett/en/extra/figures/E12_rem_a03_risk_referral.png,"A03 2023–2025: risk and referral structure of M-CHAT-R/F screening by definition era, Chile — F84 family excluding Rett syndrome",E12_grd_age_single_year.csv|E12_rem_a03_risk_referral.csv,14_extra_figures_rem.py
E13_rem_a05_regional,Additional supplementary figure,Figure S28,supplementary figure,sin_rett/en/extra/figures/E13_rem_a05_regional.png,"A05 regional: mental-health programme entries for autism by region and year, Chile 2021–2025 — F84 family excluding Rett syndrome",E13_rem_a05_regional.csv,14_extra_figures_rem.py
E14_rem_a05_age_sex,Additional supplementary figure,Figure S29,supplementary figure,sin_rett/en/extra/figures/E14_rem_a05_age_sex.png,"A05 by age and sex: autism entries in 17 WHO age groups, standardised rates and male-to-female ratio, Chile 2021–2025 — F84 family excluding Rett syndrome",E14_rem_a05_age_sex.csv,14_extra_figures_rem.py
E15_rem_p2_p6_detail,Additional supplementary figure,Figure S30,supplementary figure,sin_rett/en/extra/figures/E15_rem_p2_p6_detail.png,"P2 and P6 in detail: ASD population under control in the public network, December stock, Chile 2019–2025 — F84 family excluding Rett syndrome",E15_rem_p2_p6_detail.csv,14_extra_figures_rem.py
E16_rem_a27_a28_regional,Additional supplementary figure,Figure S31,supplementary figure,sin_rett/en/extra/figures/E16_rem_a27_a28_regional.png,"A27 and A28 by region: screening counselling and assisted referral and ASD rehabilitation entries, Chile 2023–2025 — F84 family excluding Rett syndrome",E16_rem_a27_a28_regional.csv,14_extra_figures_rem.py
E17_rem_establishment_distribution,Additional supplementary figure,Figure S32,supplementary figure,sin_rett/en/extra/figures/E17_rem_establishment_distribution.png,"Distribution of REM activity across establishments: Lorenz curves, top decile and thresholds, Chile 2019–2025 — F84 family excluding Rett syndrome",E17_rem_establishment_distribution.csv,14_extra_figures_rem.py
E18_rem_monthly_series,Additional supplementary figure,Figure S33,supplementary figure,sin_rett/en/extra/figures/E18_rem_monthly_series.png,"Monthly REM series: A05 entries, A03 screening and A28 rehabilitation by month, seasonality and the 2020 disruption, Chile 2019–2025 — F84 family excluding Rett syndrome",E18_rem_monthly_series.csv,14_extra_figures_rem.py
E19_rem_definition_era_sensitivity,Additional supplementary figure,Figure S34,supplementary figure,sin_rett/en/extra/figures/E19_rem_definition_era_sensitivity.png,"Definition-era sensitivity: every REM indicator under strict autism, the variant PDD family and the broad pre-2021 category, Chile 2019–2025 — F84 family excluding Rett syndrome",E19_rem_definition_era_sensitivity.csv,14_extra_figures_rem.py
E40_maps_grd_smoothed_ratio,Additional supplementary figure,Figure S45,supplementary figure,sin_rett/en/extra/figures/E40_maps_grd_smoothed_ratio.png,"Territorial distribution of hospital recognition of autism by comuna of residence, Chile 2019–2024 — F84 family excluding Rett syndrome",E40_grd_smoothed_ratio_comuna.csv,15b_spatial_correlation.py|prose_es.py|prose_en.py
E41_maps_rem_place_of_care,Additional supplementary figure,Figure S46,supplementary figure,sin_rett/en/extra/figures/E41_maps_rem_place_of_care.png,"Territorial distribution of the REM autism indicators by comuna of the establishment, Chile 2019–2025 — F84 family excluding Rett syndrome",E41_rem_comuna_place_of_care.csv,15b_spatial_correlation.py
E42_lisa_gistar_maps,Additional supplementary figure,Figure S47,supplementary figure,sin_rett/en/extra/figures/E42_lisa_gistar_maps.png,"Local clusters of administrative recognition of autism: LISA and Gi*, Chile — F84 family excluding Rett syndrome",E42_local_class_counts.csv,15b_spatial_correlation.py
E43_moran_scatter_weights,Additional supplementary figure,Figure S48,supplementary figure,sin_rett/en/extra/figures/E43_moran_scatter_weights.png,"Global spatial autocorrelation and its sensitivity to the weight definition, Chile — F84 family excluding Rett syndrome",E43_moran_sensitivity_main.csv,15b_spatial_correlation.py
E44_correlation_matrix,Additional supplementary figure,Figure S49,supplementary figure,sin_rett/en/extra/figures/E44_correlation_matrix.png,"Territorial correlation between the administrative systems, comunas and regions — F84 family excluding Rett syndrome",E44_correlation_matrix_comuna.csv,15b_spatial_correlation.py
E45_bivariate_moran,Additional supplementary figure,Figure S50,supplementary figure,sin_rett/en/extra/figures/E45_bivariate_moran.png,Spatial cross-correlation between systems: bivariate Moran's I — F84 family excluding Rett syndrome,E45_bivariate_moran_pairs.csv,15b_spatial_correlation.py
E46_sae_deprivation,Additional supplementary figure,Figure S51,supplementary figure,sin_rett/en/extra/figures/E46_sae_deprivation.png,Administrative recognition of autism and comuna deprivation estimated for small areas (SAE 2024) — F84 family excluding Rett syndrome,E46_sae_association.csv,15b_spatial_correlation.py
E47_lorenz_theil,Additional supplementary figure,Figure S52,supplementary figure,sin_rett/en/extra/figures/E47_lorenz_theil.png,Territorial inequality of the distribution of administrative recognition — F84 family excluding Rett syndrome,E47_inequality_gini_theil.csv,15b_spatial_correlation.py
E48_rank_stability,Additional supplementary figure,Figure S53,supplementary figure,sin_rett/en/extra/figures/E48_rank_stability.png,Temporal stability of the territorial distribution — F84 family excluding Rett syndrome,E48_rank_stability.csv,15b_spatial_correlation.py
E49_regional_summary,Additional supplementary figure,Figure S54,supplementary figure,sin_rett/en/extra/figures/E49_regional_summary.png,"Regional-scale summary: rates, standardised ratios and intervals — F84 family excluding Rett syndrome",E49_regional_summary.csv,15b_spatial_correlation.py|prose_es.py|prose_en.py
EF10_deis_detail,Additional supplementary figure,Figure S25,supplementary figure,sin_rett/en/extra/figures/EF10_deis_detail.png,DEIS discharges with F84 as principal diagnosis: detail and comparison with GRD — F84 family excluding Rett syndrome,EF10_deis_detail.csv,13_extra_figures_hospital.py
EF1_seasonality_monthly,Additional supplementary figure,Figure S16,supplementary figure,sin_rett/en/extra/figures/EF1_seasonality_monthly.png,Seasonality and monthly series of GRD episodes with documented F84 — F84 family excluding Rett syndrome,EF1_seasonality_monthly.csv,13_extra_figures_hospital.py|16_extra_tables.py
EF2_length_of_stay,Additional supplementary figure,Figure S17,supplementary figure,sin_rett/en/extra/figures/EF2_length_of_stay.png,Length of stay of episodes with documented F84 — F84 family excluding Rett syndrome,EF2_length_of_stay.csv,13_extra_figures_hospital.py
EF3_episode_features,Additional supplementary figure,Figure S18,supplementary figure,sin_rett/en/extra/figures/EF3_episode_features.png,Administrative characteristics of the episode: documented F84 versus all GRD episodes — F84 family excluding Rett syndrome,EF3_episode_features.csv,13_extra_figures_hospital.py
EF4_severity_weight,Additional supplementary figure,Figure S19,supplementary figure,sin_rett/en/extra/figures/EF4_severity_weight.png,"Severity, IR-29301 mortality risk, GRD weight and in-hospital lethality — F84 family excluding Rett syndrome",EF4_severity_weight.csv,13_extra_figures_hospital.py
EF5_codiagnoses,Additional supplementary figure,Figure S20,supplementary figure,sin_rett/en/extra/figures/EF5_codiagnoses.png,Co-diagnoses of episodes with documented F84 — F84 family excluding Rett syndrome,EF5_codiagnoses.csv,13_extra_figures_hospital.py
EF6_readmission_multiplicity,Additional supplementary figure,Figure S21,supplementary figure,sin_rett/en/extra/figures/EF6_readmission_multiplicity.png,Readmission and multiplicity of episodes per identifier — F84 family excluding Rett syndrome,EF6_readmission_multiplicity.csv,13_extra_figures_hospital.py
EF7_age_detail,Additional supplementary figure,Figure S22,supplementary figure,sin_rett/en/extra/figures/EF7_age_detail.png,Age detail of episodes with documented F84 — F84 family excluding Rett syndrome,EF7_age_detail.csv,13_extra_figures_hospital.py
EF8_hospitals,Additional supplementary figure,Figure S23,supplementary figure,sin_rett/en/extra/figures/EF8_hospitals.png,"GRD panel hospitals: rates, rank stability and concentration — F84 family excluding Rett syndrome",EF8_hospitals.csv,13_extra_figures_hospital.py
EF9_territory,Additional supplementary figure,Figure S24,supplementary figure,sin_rett/en/extra/figures/EF9_territory.png,Territory: episodes and persons by reported region and comuna of residence — F84 family excluding Rett syndrome,EF9_territory.csv,13_extra_figures_hospital.py
figE20_population_structure,Additional supplementary figure,Figure S35,supplementary figure,sin_rett/en/extra/figures/figE20_population_structure.png,"Structure of the reference population (INE), 2019–2025 — F84 family excluding Rett syndrome",E20_population_structure.csv,15_extra_figures_context.py
figE21_insurance_coverage,Additional supplementary figure,Figure S36,supplementary figure,sin_rett/en/extra/figures/figE21_insurance_coverage.png,"Insurance and operational coverage in detail (December stocks), 2019–2025 — F84 family excluding Rett syndrome",E21_insurance_coverage.csv,15_extra_figures_context.py
figE22_rem20_capacity,Additional supplementary figure,Figure S37,supplementary figure,sin_rett/en/extra/figures/figE22_rem20_capacity.png,"REM-20 hospital activity and capacity and its ecological relationship with GRD episodes with F84, 2019–2025 — F84 family excluding Rett syndrome",E22_rem20_capacity.csv,15_extra_figures_context.py
figE23_surveys_detail,Additional supplementary figure,Figure S38,supplementary figure,sin_rett/en/extra/figures/figE23_surveys_detail.png,"ENDIDE 2022 and ENCAVI 2023–2024 analysed with their complex sampling design: estimates, precision and flagged domains",E23_surveys_detail.csv,15_extra_figures_context.py
figE24_education_detail,Additional supplementary figure,Figure S39,supplementary figure,sin_rett/en/extra/figures/figE24_education_detail.png,"Educational recognition of autism: PIE, SINACES and special schools, 2019–2025",E24_education_detail.csv,15_extra_figures_context.py
figE25_junaeb_detail,Additional supplementary figure,Figure S40,supplementary figure,sin_rett/en/extra/figures/figE25_junaeb_detail.png,"JUNAEB EVE: caregiver-reported autism in selected school cohorts, 2019–2025",E25_junaeb_detail.csv,15_extra_figures_context.py
figE26_cross_source,Additional supplementary figure,Figure S41,supplementary figure,sin_rett/en/extra/figures/figE26_cross_source.png,"Comparison across administrative systems: index, raw value, population rate and value per reporting unit, with their denominators, 2019–2025 — F84 family excluding Rett syndrome",E26_cross_source.csv,15_extra_figures_context.py
figE26b_sex_ratio_multisource,Additional supplementary figure,Figure S42,supplementary figure,sin_rett/en/extra/figures/figE26b_sex_ratio_multisource.png,"Male-to-female ratio of administrative autism recognition in every source that reports sex, 2019–2025 — F84 family excluding Rett syndrome",E26b_sex_ratio_multisource.csv,15_extra_figures_context.py
figE27_model_diagnostics,Additional supplementary figure,Figure S43,supplementary figure,sin_rett/en/extra/figures/figE27_model_diagnostics.png,Quasi-Poisson model diagnostics and sensitivity across specifications — F84 family excluding Rett syndrome,E27_model_diagnostics.csv,15_extra_figures_context.py
figE28_variant_sensitivity,Additional supplementary figure,Figure S44,supplementary figure,sin_rett/en/extra/figures/figE28_variant_sensitivity.png,"Sensitivity of every series to the case-definition variant: full F84 (with Rett syndrome) versus F84 without Rett, 2019–2025",E28_variant_sensitivity.csv,15_extra_figures_context.py
F3_rem_pathway_data,Table,Table S27,supplementary table,sin_rett/en/tables/F3_rem_pathway_data.csv,"Values plotted in Figure 4: annual REM counts by panel, code, era and year, with reporting establishments and stable panel — F84 without Rett variant",F3_rem_pathway_data_numeric.csv,08b_figures_rem.py|16_extra_tables.py|prose_es.py|prose_en.py
F4_triangulation_series,Table,Table S45,supplementary table,sin_rett/en/tables/F4_triangulation_series.csv,"Figure 5 series per 100,000 population: GRD, REM A05, REM P2 and PIE, 2019–2025 — F84 without Rett variant",F4_triangulation_series_numeric.csv,08c_figures_triangulation.py|16_extra_tables.py|prose_es.py|prose_en.py
S10_denominator_sensitivity,Table,Table S40,supplementary table,sin_rett/en/tables/S10_denominator_sensitivity.csv,"Sensitivity of national denominators: INE base 2017 vs base 2024 and Census 2024, 2019–2025 — F84 without Rett variant",S10_denominator_sensitivity_numeric.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py
S11_coverage_age_sex,Table,Table S41,supplementary table,sin_rett/en/tables/S11_coverage_age_sex.csv,"Coverage layers at December 2025 by 10-year age band and sex: FONASA, APS enrolment, ISAPRE and INE population — F84 without Rett variant",S11_coverage_age_sex_numeric.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py|values.py
S12_junaeb_sex_level,Table,Table S44,supplementary table,sin_rett/en/tables/S12_junaeb_sex_level.csv,"JUNAEB: students with caregiver-reported ASD by year, level and sex, 2019–2025 — F84 without Rett variant",S12_junaeb_sex_level_numeric.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py|values.py
S13_rem_seasonality,Table,Table S34,supplementary table,sin_rett/en/tables/S13_rem_seasonality.csv,"REM monthly totals, establishments with a row in the month and index relative to the annual mean (A05 and A03) — F84 without Rett variant",S13_rem_seasonality_numeric.csv,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
S14_deis_sex_age,Table,Table S26,supplementary table,sin_rett/en/tables/S14_deis_sex_age.csv,"DEIS discharges with F84 as principal diagnosis per 100,000 discharges by sex and 10-year age band, 2019–2024 — F84 without Rett variant",S14_deis_sex_age_numeric.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py|prose_methods_extended.py
S15_controls_scatter,Table,Table S50,supplementary table,sin_rett/en/tables/S15_controls_scatter.csv,"Numeric reproduction controls used in Figure S15: expected, observed, relative difference and status, by module — F84 without Rett variant",S15_controls_scatter_numeric.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py
S5_june_december,Table,Table S28,supplementary table,sin_rett/en/tables/S5_june_december.csv,"REM June and December stocks by series, code, era and year, with reporting establishments and June/December ratio — F84 without Rett variant",S5_june_december_numeric.csv,08b_figures_rem.py|prose_es.py|prose_en.py
S6_stable_panel,Table,Table S30,supplementary table,sin_rett/en/tables/S6_stable_panel.csv,"REM totals over all establishments and over the stable panel, with percentages of volume and establishments retained — F84 without Rett variant",S6_stable_panel_numeric.csv,08b_figures_rem.py|prose_es.py|prose_en.py
S7_a05_standardised_rates,Table,not used in the documents,not used in the documents,sin_rett/en/tables/S7_a05_standardised_rates.csv,"REM A05 entries per 100,000 INE population: crude and WHO age-standardised rates by series, year and sex, with reporting establishments — F84 without Rett variant",S7_a05_standardised_rates_numeric.csv,08b_figures_rem.py|17_extended_material.py|prose_en.py
S8_a05_age_sex,Table,Table S32,supplementary table,sin_rett/en/tables/S8_a05_age_sex.csv,"REM A05 entries by age group, sex and year (age × sex cells), strict autism and PDD family — F84 without Rett variant",S8_a05_age_sex_numeric.csv,08b_figures_rem.py|prose_es.py|prose_en.py|prose_methods_extended.py
S9_regional_rates,Table,Table S46,supplementary table,sin_rett/en/tables/S9_regional_rates.csv,"Regional rates 2024 per 100,000 population: GRD episodes with F84 by region of residence (both variants) and REM A05 entries by region of establishment — F84 without Rett variant",S9_regional_rates_numeric.csv,08c_figures_triangulation.py|prose_es.py|prose_en.py
ST10_grd_f84_subcodes,Table,Table S20,supplementary table,sin_rett/en/tables/ST10_grd_f84_subcodes.csv,"ICD-10 subcodes of the F84 family in public GRD episodes by year and diagnosis position, 2019–2024 — F84 family excluding Rett syndrome variant",ST10_grd_f84_subcodes_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST11a_deis_annual,Table,Table S24,supplementary table,sin_rett/en/tables/ST11a_deis_annual.csv,"DEIS hospital discharges 2019–2024: total discharges, SNSS affiliation, masking and discharges with F84 by diagnosis position, with rate per 100,000 discharges — F84 family excluding Rett syndrome variant",ST11a_deis_annual_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST11b_deis_vs_grd,Table,Table S25,supplementary table,sin_rett/en/tables/ST11b_deis_vs_grd.csv,"Coverage comparison between DEIS discharges and public GRD episodes by year, 2019–2024: principal F84 versus principal F84 (the only comparable series) — F84 family excluding Rett syndrome variant",ST11b_deis_vs_grd_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST12a_fonasa_schema,Table,Table S37,supplementary table,sin_rett/en/tables/ST12a_fonasa_schema.csv,"Schema of the December FONASA beneficiary aggregate files by year, 2018–2025: file, encoding, columns, age bands, additive duplicates and total beneficiaries",ST12a_fonasa_schema_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST12b_isapre_rules,Table,Table S38,supplementary table,sin_rett/en/tables/ST12b_isapre_rules.csv,"December ISAPRE beneficiaries by year, 2019–2025, and harmonisation rules of the Superintendencia de Salud comuna files",ST12b_isapre_rules_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST12c_aps_panel,Table,Table S39,supplementary table,sin_rett/en/tables/ST12c_aps_panel.csv,"December primary-care (APS) enrolment by year, 2019–2025: centres, continuous panel of 1,871 centres and retention",ST12c_aps_panel_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST13_a05_age_sex,Table,Table S31,supplementary table,sin_rett/en/tables/ST13_a05_age_sex.csv,"Mental-health programme entries for autism and the PDD family (REM A05) by age group, sex and year, 2019–2025, with reporting establishments — F84 family excluding Rett syndrome variant",ST13_a05_age_sex_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST14_p2_p6_june_december,Table,Table S29,supplementary table,sin_rett/en/tables/ST14_p2_p6_june_december.csv,"Population under control for autism and PDD in REM Series P (P2 NANEAS and P6 mental health): December stock versus June stock by year, 2019–2025, with reporting establishments and stable panel — F84 family excluding Rett syndrome variant",ST14_p2_p6_june_december_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST1_grd_hospital_panel,Table,Table S18,supplementary table,sin_rett/en/tables/ST1_grd_hospital_panel.csv,"Public GRD hospitals 2019–2024: fixed panel of 65 hospitals and observed annual panel, with GRD episodes and episodes with documented F84 by year — F84 family excluding Rett syndrome variant",ST1_grd_hospital_panel_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST2_rem_code_dictionary,Table,Table S16,supplementary table,sin_rett/en/tables/ST2_rem_code_dictionary.csv,"Verification of the 57 REM codes of the administrative pathway against the official dictionary of each year, 2019–2025",n/e,09b_tables_supplementary.py|10_manuscript.py|prose_es.py|prose_en.py
ST3_rem_reporting_establishments,Table,Table S17,supplementary table,sin_rett/en/tables/ST3_rem_reporting_establishments.csv,"Establishments reporting each REM code by module and year, 2019–2025, with the stable establishment panel (57 codes)",ST3_rem_reporting_establishments_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST4a_comuna_crosswalk_summary,Table,Table S35,supplementary table,sin_rett/en/tables/ST4a_comuna_crosswalk_summary.csv,"INE–DEIS comuna crosswalk: comuna names of FONASA, APS enrolment and ISAPRE linked to the unique territorial code by method (exact match or explicit alias), 2019–2025",n/e,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST4b_comuna_unmatched,Table,Table S36,supplementary table,sin_rett/en/tables/ST4b_comuna_unmatched.csv,"Comuna names not linked to the crosswalk (non-geographic placeholders) by source and year, with the persons affected and their share of the source's national total",ST4b_comuna_unmatched_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST5_survey_items,Table,Table S42,supplementary table,sin_rett/en/tables/ST5_survey_items.csv,Dictionary of the autism items and design variables of ENDIDE 2022 and ENCAVI 2023–2024,n/e,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST6_junaeb_items,Table,Table S43,supplementary table,sin_rett/en/tables/ST6_junaeb_items.csv,"Dictionary of the Student Vulnerability Survey (JUNAEB EVE) by year and level, 2019–2025: autism spectrum disorder item, filter, weight and estimability",n/e,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST6_junaeb_items_long,Table,not used in the documents,not used in the documents,sin_rett/en/tables/ST6_junaeb_items_long.csv,n/e,n/e,09b_tables_supplementary.py
ST7_provenance,Table,Table S14,supplementary table,sin_rett/en/tables/ST7_provenance.csv,"Full provenance of the 182 source artefacts (28 source groups, 20.84 GB): file, size, SHA-256, date, unit, period, stock/flow, breaks, linkage and use rule",ST7_provenance_numeric.csv,09b_tables_supplementary.py|10_manuscript.py|prose_es.py|prose_en.py
ST7b_manifest_checks,Table,Table S15,supplementary table,sin_rett/en/tables/ST7b_manifest_checks.csv,SHA-256 and size agreement between the artefacts on disk and the manifests listing them (189 entries),ST7b_manifest_checks_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST8_grd_identifier_audit,Table,Table S19,supplementary table,sin_rett/en/tables/ST8_grd_identifier_audit.csv,"Audit of the person identifier of the public GRD by year, 2019–2024: validity, within-year uniqueness, format and informative overlap between years — F84 family excluding Rett syndrome variant",ST8_grd_identifier_audit_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
ST9_grd_age_sex,Table,Table S21,supplementary table,sin_rett/en/tables/ST9_grd_age_sex.csv,"GRD episodes with documented F84 by sex and five-year age group, 2019–2024: number and rate per 100,000 GRD episodes of the same sex-age cell (observed panel, all modalities) — F84 family excluding Rett syndrome variant",ST9_grd_age_sex_numeric.csv,09b_tables_supplementary.py|prose_es.py|prose_en.py
