Estimand,Series / variant,Specification (panel; activity; position; denominator/offset; covariates; family),Years,n (obs.),APC % (95% CI),p value (Wald),Dispersion (Pearson χ²/df),Notes
GRD hospital-year: trend with hospital effects,F84 any position — F84 without Rett,observed annual panel; all activity; any position; offset log(hospital-year episodes); hospital fixed effects; quasi-Poisson with hospital fixed effects,2019–2024,400,35.9 (33.9–38.0),< 0.001,3.83,"hospital fixed effects; common trend; RR vs geometric mean of hospitals; within-hospital Durbin–Watson; hospital-level results are descriptive, no causal ecological interpretation"
GRD hospital-year: trend with hospital effects,F84 any position — F84 without Rett,"observed annual panel; all activity; any position; offset log(hospital-year episodes); hospital fixed effects; quasi-Poisson, fixed effects, hospital-clustered SE",2019–2024,400,35.9 (32.0–40.0),< 0.001,3.83,"hospital fixed effects; common trend; RR vs geometric mean of hospitals; within-hospital Durbin–Watson; hospital-level results are descriptive, no causal ecological interpretation; hospital-clustered robust SE"
GRD hospital-year: trend with hospital effects,F84 any position — F84 without Rett,observed annual panel; all activity; any position; offset log(hospital-year episodes); hospital fixed effects + hospital-year coding depth; quasi-Poisson with hospital fixed effects,2019–2024,400,34.2 (31.6–36.8),< 0.001,3.78,"hospital fixed effects; common trend; RR vs geometric mean of hospitals; within-hospital Durbin–Watson; hospital-level results are descriptive, no causal ecological interpretation; depth = coded diagnoses per episode"
GRD hospital-year: trend with hospital effects,F84 any position — F84 without Rett,fixed panel of 65 hospitals; all activity; any position; offset log(hospital-year episodes); hospital fixed effects; quasi-Poisson with hospital fixed effects,2019–2024,390,35.9 (33.9–38.0),< 0.001,3.86,"hospital fixed effects; common trend; RR vs geometric mean of hospitals; within-hospital Durbin–Watson; hospital-level results are descriptive, no causal ecological interpretation"
GRD hospital-year: trend with hospital effects,F84 any position — F84 without Rett,observed annual panel; all activity; any position; offset log(hospital-year episodes); hospital random intercept; Poisson random intercept (Laplace/MAP),2019–2024,400,35.9 (34.9–37.0),< 0.001,3.15,"random intercept converged; priors: fixed effects N(0, 10²), intercept log-SD N(0, 1); Poisson likelihood without overdispersion: narrower CI than quasi-Poisson; hospital-level results are descriptive, no causal ecological interpretation; random-intercept SD = 0.79"
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",F84 any position — F84 without Rett — both sexes,"observed annual panel; all activity; any position; offset log(INE population, base 2017); no covariates",2019–2024,6,40.4 (25.1–57.5),< 0.001,205.55,numerator by place of care and denominator by residence (INE): complementary reading; episodes without valid age/sex excluded from the standardised rate
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",F84 any position — F84 without Rett — both sexes,"observed annual panel; all activity; any position; offset log(INE population, base 2017); age-group fixed effects (age-adjusted APC); quasi-Poisson with age effects",2019–2024,102,42.1 (37.9–46.4),< 0.001,13.79,numerator by place of care and denominator by residence (INE): complementary reading; episodes without valid age/sex excluded from the standardised rate; age-group-adjusted APC
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",F84 any position — F84 without Rett — males,"observed annual panel; all activity; any position; offset log(INE population, base 2017); age-group fixed effects (age-adjusted APC); quasi-Poisson with age effects",2019–2024,102,37.5 (33.6–41.5),< 0.001,9.36,numerator by place of care and denominator by residence (INE): complementary reading; episodes without valid age/sex excluded from the standardised rate; age-group-adjusted APC
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",F84 any position — F84 without Rett — females,"observed annual panel; all activity; any position; offset log(INE population, base 2017); age-group fixed effects (age-adjusted APC); quasi-Poisson with age effects",2019–2024,102,54.9 (48.3–61.8),< 0.001,7.68,numerator by place of care and denominator by residence (INE): complementary reading; episodes without valid age/sex excluded from the standardised rate; age-group-adjusted APC
"GRD: episodes with documented F84 per 100,000 population (INE base 2017)",F84 principal — F84 without Rett — both sexes,"observed annual panel; all activity; principal; offset log(INE population, base 2017); age-group fixed effects (age-adjusted APC); quasi-Poisson with age effects",2019–2024,102,18.1 (13.4–22.9),< 0.001,1.85,numerator by place of care and denominator by residence (INE): complementary reading; episodes without valid age/sex excluded from the standardised rate; small numerator (principal F84): wide CI; age-group-adjusted APC
"REM A05: autism entries per 100,000 population (INE)",entries reported — strict REM autism (identical in both variants),"all reporting establishments; offset log(INE population, base 2017); no covariates",2021–2025,5,47.2 (27.4–70.0),< 0.001,355.73,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); series identical in both variants; numerator by place of care and denominator by residence (INE): complementary reading"
REM A05: mental-health programme entries for autism,entries reported — strict REM autism (identical in both variants),all reporting establishments; offset log(reporting establishments); no covariates,2021–2025,5,27.9 (23.7–32.2),< 0.001,16.54,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); series identical in both variants; reporting-establishment offset: rate per establishment"
"REM A05: autism entries per 100,000 population (INE)","entries, stable panel — strict REM autism (identical in both variants)","stable panel (reports in every year of the era); offset log(INE population, base 2017); no covariates",2021–2025,5,38.5 (26.8–51.2),< 0.001,73.86,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); series identical in both variants; stable establishment panel (n in the numeric version); numerator by place of care and denominator by residence (INE): complementary reading; n = 258"
"REM A05: autism entries per 100,000 population (INE)",entries reported — strict REM autism (identical in both variants) — both sexes,"all reporting establishments; offset log(INE population, base 2017); age-group fixed effects (age-adjusted APC); quasi-Poisson with age effects",2021–2025,85,49.1 (43.0–55.5),< 0.001,29.87,2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; sum of the age × sex cells of in-era rows; numerator by place of care and denominator by residence (INE): complementary reading; series identical in both variants; age-group-adjusted APC
"REM A05: autism entries per 100,000 population (INE)",entries reported — strict REM autism (identical in both variants),"all reporting establishments; offset log(INE population, base 2017); no covariates",2022–2025,4,36.9 (18.7–57.9),< 0.001,228.56,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); series identical in both variants; numerator by place of care and denominator by residence (INE): complementary reading"
"REM A05: autism entries per 100,000 population (INE)",entries reported — F84 without Rett,"all reporting establishments; offset log(INE population, base 2017); no covariates",2021–2025,5,29.1 (16.5–43.2),< 0.001,282.59,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); numerator by place of care and denominator by residence (INE): complementary reading"
REM A05: mental-health programme entries for autism,entries reported — F84 without Rett,all reporting establishments; offset log(reporting establishments); no covariates,2021–2025,5,20.6 (16.6–24.8),< 0.001,28.03,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); reporting-establishment offset: rate per establishment"
"REM A05: autism entries per 100,000 population (INE)","entries, stable panel — F84 without Rett","stable panel (reports in every year of the era); offset log(INE population, base 2017); no covariates",2021–2025,5,26.8 (18.2–36.0),< 0.001,90.01,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); stable establishment panel (n in the numeric version); numerator by place of care and denominator by residence (INE): complementary reading; n = 432"
REM A05: mental-health programme exits for autism,exits reported — strict REM autism (identical in both variants),"all reporting establishments; offset log(INE population, base 2017); no covariates",2021–2025,5,56.7 (29.4–89.7),< 0.001,145.00,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); series identical in both variants; numerator by place of care and denominator by residence (INE): complementary reading"
REM A05: mental-health programme exits for autism,exits reported — F84 without Rett,"all reporting establishments; offset log(INE population, base 2017); no covariates",2021–2025,5,34.1 (16.4–54.5),< 0.001,144.65,"2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; fewer A05 establishments report in 2025 (952 vs 1,070 in 2024); numerator by place of care and denominator by residence (INE): complementary reading"
REM P2: NANEAS with ASD under control (December),December stock — independent of Rett (identical),all reporting establishments; no offset (count); no covariates; quasi-Poisson log-linear (stock),2019–2025,7,63.5 (54.1–73.6),< 0.001,175.95,"stock (population under control), not a flow"
REM P2: NANEAS with ASD under control (December),December stock — independent of Rett (identical),all reporting establishments; offset log(reporting establishments); no covariates; quasi-Poisson log-linear (stock),2019–2025,7,36.3 (32.6–40.0),< 0.001,34.32,"stock (population under control), not a flow; reporting-establishment offset: rate per establishment"
REM P2: NANEAS with ASD under control (December),"December stock, stable panel — independent of Rett (identical)",stable panel (reports in every year of the era); no offset (count); no covariates; quasi-Poisson log-linear (stock),2019–2025,7,48.0 (42.5–53.7),< 0.001,29.43,"stock (population under control), not a flow; stable establishment panel (n in the numeric version); n = 193"
REM P2: NANEAS with ASD under control (December),December stock — independent of Rett (identical),all reporting establishments; no offset (count); 2020–2021 reporting-disruption indicator; quasi-Poisson log-linear (stock),2019–2025,7,57.1 (49.4–65.2),< 0.001,84.87,"stock (population under control), not a flow; the 2020–2021 indicator describes reporting disruption, not a causal effect"
REM P2: NANEAS with ASD under control (December),December stock — independent of Rett (identical),all reporting establishments; no offset (count); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,60.1 (48.3–72.8),< 0.001,178.79,"stock (population under control), not a flow"
"REM P2: ASD under control (June, sensitivity)",June stock — independent of Rett (identical),all reporting establishments; offset log(reporting establishments); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,42.1 (38.9–45.4),< 0.001,10.92,"stock (population under control), not a flow; June only as sensitivity; never summed with December; reporting-establishment offset: rate per establishment"
REM P2: ASD per 100 NANEAS under control (December),December stock — independent of Rett (identical),all reporting establishments; offset log(total NANEAS under control); no covariates; quasi-Poisson log-linear (stock),2023–2025,3,14.7 (2.6–28.1),0.016,128.94,"one residual degree of freedom: dispersion very unstable; stock (population under control), not a flow; total NANEAS denominator available only from December 2023"
REM P6 primary care: population under control for autism (December),December stock — strict REM autism (identical in both variants),all reporting establishments; no offset (count); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,65.8 (48.9–84.5),< 0.001,241.88,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; series identical in both variants"
REM P6 primary care: population under control for autism (December),December stock — strict REM autism (identical in both variants),all reporting establishments; offset log(reporting establishments); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,34.7 (28.9–40.8),< 0.001,37.91,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; series identical in both variants; reporting-establishment offset: rate per establishment"
REM P6 primary care: population under control for autism (December),"December stock, stable panel — strict REM autism (identical in both variants)",stable panel (reports in every year of the era); no offset (count); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,51.5 (37.5–66.9),< 0.001,129.26,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; series identical in both variants; stable establishment panel (n in the numeric version); n = 353"
REM P6 primary care: population under control for autism (December),December stock — F84 without Rett,all reporting establishments; no offset (count); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,41.7 (35.4–48.3),< 0.001,73.66,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled"
REM P6 primary care: population under control for autism (December),December stock — F84 without Rett,all reporting establishments; offset log(reporting establishments); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,25.5 (22.0–29.1),< 0.001,27.24,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; reporting-establishment offset: rate per establishment"
REM P6 specialty: population under control for autism (December),December stock — strict REM autism (identical in both variants),all reporting establishments; no offset (count); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,36.1 (27.1–45.6),< 0.001,80.27,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; series identical in both variants"
REM P6 specialty: population under control for autism (December),December stock — strict REM autism (identical in both variants),all reporting establishments; offset log(reporting establishments); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,21.7 (14.0–29.9),< 0.001,72.05,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled; series identical in both variants; reporting-establishment offset: rate per establishment"
REM P6 specialty: population under control for autism (December),December stock — F84 without Rett,all reporting establishments; no offset (count); no covariates; quasi-Poisson log-linear (stock),2021–2025,5,21.9 (18.4–25.5),< 0.001,28.95,"stock (population under control), not a flow; 2021–2025 era (autism codes); broad PDD 2019–2020 not modelled"
PIE: students with ASD (annual school stock),harmonised PIE — independent of Rett (identical),national; no offset (count); no covariates; quasi-Poisson log-linear (stock),2019–2025,7,34.5 (30.9–38.3),< 0.001,245.33,"Apuntes 60 (2019–2023) and SINACES (2024–2025); stock (population under control), not a flow"
PIE: students with ASD (annual school stock),harmonised PIE — independent of Rett (identical),national; no offset (count); no covariates; quasi-Poisson log-linear (stock),2019–2023,5,34.7 (27.1–42.8),< 0.001,287.84,"Apuntes 60 (2019–2023) and SINACES (2024–2025); stock (population under control), not a flow"
PIE: students with ASD (annual school stock),harmonised PIE — independent of Rett (identical),national; no offset (count); 2020–2021 reporting-disruption indicator; quasi-Poisson log-linear (stock),2019–2025,7,32.5 (28.8–36.2),< 0.001,166.10,"Apuntes 60 (2019–2023) and SINACES (2024–2025); stock (population under control), not a flow; the 2020–2021 indicator describes reporting disruption, not a causal effect"
PIE: students with ASD (annual school stock),PIE strict ASD — independent of Rett (identical),national; no offset (count); no covariates; quasi-Poisson log-linear (stock),2019–2023,5,46.3 (35.3–58.3),< 0.001,323.41,"stock (population under control), not a flow"
PIE: students with ASD (annual school stock),PIE ASD-Asperger — independent of Rett (identical),national; no offset (count); no covariates; quasi-Poisson log-linear (stock),2019–2023,5,16.0 (14.2–17.7),< 0.001,7.08,"stock (population under control), not a flow"
"DEIS: discharges with F84 principal per 100,000 discharges",F84 in DIAG1 — F84 without Rett,national; all activity; principal; offset log(DEIS discharges); no covariates,2019–2024,6,20.0 (15.1–25.0),< 0.001,3.20,DEIS publishes DIAG1 only (DIAG2 = external cause): comparable only with GRD principal
"DEIS: discharges with F84 principal per 100,000 discharges",F84 in DIAG1 — F84 without Rett,national; all activity; principal; offset log(DEIS discharges); no covariates,2021–2024,4,23.9 (14.6–33.8),< 0.001,3.73,DEIS publishes DIAG1 only (DIAG2 = external cause): comparable only with GRD principal
