Source,Indicator,Year / key,Expected (protocol),Observed (pipeline),Difference,Status,Explanation
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2021,"2,399","2,399",0,matches,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2022,"3,912","3,912",0,matches,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2023,"6,421","6,421",0,matches,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
Public GRD 2019–2024 (module 01),"Episodes with documented F84, fixed panel of 65 hospitals",2024,"8,557","8,557",0,matches,Same count restricted to the 65 hospitals reporting in every year 2019–2024 (verified subset of the 68 of 2023 and 72 of 2024).
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2019,"1,960","1,960",0,matches,"TIPO_ACTIVIDAD = hospitalisation, observed panel; from 2020 only two categories exist (hospitalisation and CMA), so hospitalisation = any F84 − CMA."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2020,"1,550","1,550",0,matches,"TIPO_ACTIVIDAD = hospitalisation, observed panel; from 2020 only two categories exist (hospitalisation and CMA), so hospitalisation = any F84 − CMA."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2021,"2,217","2,217",0,matches,"TIPO_ACTIVIDAD = hospitalisation, observed panel; from 2020 only two categories exist (hospitalisation and CMA), so hospitalisation = any F84 − CMA."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2022,"3,561","3,561",0,matches,"TIPO_ACTIVIDAD = hospitalisation, observed panel; from 2020 only two categories exist (hospitalisation and CMA), so hospitalisation = any F84 − CMA."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2023,"5,797","5,842",+45 (+0.8%),differs,"Differs only on the observed panel (68 hospitals): 5,842 = 6,473 episodes with documented F84 − 631 CMA. The protocol value (5,797) is reproduced exactly on the fixed panel of 65 hospitals (check row: 5,797); the protocol combined the fixed panel for hospitalisation with the observed panel for CMA. Not a reading error: the main series cites the observed panel and the fixed panel is the sensitivity."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, observed panel",2024,"7,500","7,705",+205 (+2.7%),differs,"Differs only on the observed panel (72 hospitals): 7,705 = 8,818 episodes with documented F84 − 1,113 CMA. The protocol value (7,500) is reproduced exactly on the fixed panel of 65 hospitals (check row: 7,500); the protocol combined the fixed panel for hospitalisation with the observed panel for CMA. Not a reading error: the main series cites the observed panel and the fixed panel is the sensitivity."
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2019,"1,960","1,960",0,matches,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2020,"1,550","1,550",0,matches,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2021,"2,217","2,217",0,matches,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2022,"3,561","3,561",0,matches,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2023,"5,797","5,797",0,matches,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in strict hospitalisation, fixed panel of 65 (check row)",2024,"7,500","7,500",0,matches,Check row: the same indicator on the fixed panel of 65 hospitals reproduces the protocol value in every year.
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2019,168,168,0,matches,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2020,83,83,0,matches,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2021,182,182,0,matches,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2022,351,351,0,matches,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2023,631,631,0,matches,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),"F84 episodes in major ambulatory surgery (CMA), observed panel",2024,"1,113","1,113",0,matches,"TIPO_ACTIVIDAD = major ambulatory surgery, observed panel; presented separately from hospitalisation, never pooled as 'hospitalisations for autism'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2019,241,241,0,matches,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2020,163,163,0,matches,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2021,189,189,0,matches,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2022,304,304,0,matches,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2023,366,366,0,matches,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),Episodes with F84 as principal diagnosis,2024,401,401,0,matches,"F84.x in DIAGNOSTICO1 (with or without an additional secondary F84), observed panel; sensitivity series kept separate from 'documented F84'."
Public GRD 2019–2024 (module 01),"Share of F84 episodes with F84 only as a secondary diagnosis, 2024",2024,0.955,0.95452,−0.00048 (−0.05%),matches,"Episodes with F84 only in a secondary position / episodes with F84 in any position (8,417/8,818); the protocol rounds it to three decimals."
Public GRD 2019–2024 (module 01),"Mean coding depth, all episodes",2019,4.39,4.3863,−0.0037 (−0.08%),matches,"Mean number of non-empty coded diagnoses per episode (DIAGNOSTICO1–35), all episodes of the observed panel; the protocol rounds to two decimals (0.5% tolerance)."
Public GRD 2019–2024 (module 01),"Mean coding depth, all episodes",2024,5.78,5.7842,+0.0042 (+0.07%),matches,"Mean number of non-empty coded diagnoses per episode (DIAGNOSTICO1–35), all episodes of the observed panel; the protocol rounds to two decimals (0.5% tolerance)."
Public GRD 2019–2024 (module 01),"Mean coding depth, F84 episodes",2019,5.00,4.9979,−0.0021 (−0.04%),matches,Mean number of coded diagnoses among episodes with documented F84 (with-Rett variant); the protocol rounds to two decimals (0.5% tolerance).
Public GRD 2019–2024 (module 01),"Mean coding depth, F84 episodes",2024,6.04,6.0352,−0.0048 (−0.08%),matches,Mean number of coded diagnoses among episodes with documented F84 (with-Rett variant); the protocol rounds to two decimals (0.5% tolerance).
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2019,"1,983","1,982",−1 (−0.05%),differs,"Differs by exactly 1: 4 F84 episode(s) without a valid identifier (SIN INFORMACIÓN × 4) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 1,983). Unique persons within the year only; never deduplicated across years."
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2020,"1,338","1,338",0,matches,Distinct valid identifiers among the year's F84 episodes; never deduplicated across years (the identifier changes format between 2020 and 2021 with no overlap).
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2021,"1,979","1,979",0,matches,Distinct valid identifiers among the year's F84 episodes; never deduplicated across years (the identifier changes format between 2020 and 2021 with no overlap).
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2022,"3,265","3,264",−1 (−0.03%),differs,"Differs by exactly 1: 3 F84 episode(s) without a valid identifier (DESCONOCIDO × 3) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 3,265). Unique persons within the year only; never deduplicated across years."
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2023,"5,268","5,267",−1 (−0.02%),differs,"Differs by exactly 1: 2 F84 episode(s) without a valid identifier (DESCONOCIDO × 2) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 5,268). Unique persons within the year only; never deduplicated across years."
Public GRD 2019–2024 (module 01),Unique persons with F84 within the year,2024,"7,214","7,213",−1 (−0.01%),differs,"Differs by exactly 1: 1 F84 episode(s) without a valid identifier (DESCONOCIDO × 1) are excluded from the person count, whereas the protocol counted the invalid-identifier placeholder as one extra person (check row: 7,214). Unique persons within the year only; never deduplicated across years."
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2019,"1,983","1,983",0,matches,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2020,"1,338","1,338",0,matches,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2021,"1,979","1,979",0,matches,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2022,"3,265","3,265",0,matches,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2023,"5,268","5,268",0,matches,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
Public GRD 2019–2024 (module 01),"Unique persons with F84 within the year, counting the invalid placeholder as one person (check row)",2024,"7,214","7,214",0,matches,Check row: counting the invalid-identifier placeholder as one extra person reproduces the protocol value; this definition is not used in the outputs.
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme entries for autism (05990022),"2021 (05990022, annual sum)","2,085","2,085",0,matches,"Annual sum of COL01 (both sexes) over the rows present for code 05990022, no deduplication; strict-autism series identical in both variants. Reporting establishments: 449."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme entries for autism (05990022),"2022 (05990022, annual sum)","4,640","4,640",0,matches,"Annual sum of COL01 (both sexes) over the rows present for code 05990022, no deduplication; strict-autism series identical in both variants. Reporting establishments: 658."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme entries for autism (05990022),"2023 (05990022, annual sum)","8,049","8,049",0,matches,"Annual sum of COL01 (both sexes) over the rows present for code 05990022, no deduplication; strict-autism series identical in both variants. Reporting establishments: 920."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme entries for autism (05990022),"2024 (05990022, annual sum)","11,842","11,842",0,matches,"Annual sum of COL01 (both sexes) over the rows present for code 05990022, no deduplication; strict-autism series identical in both variants. Reporting establishments: 1,070."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme entries for autism (05990022),"2025 (05990022, annual sum)","13,155","13,155",0,matches,"Annual sum of COL01 (both sexes) over the rows present for code 05990022, no deduplication; strict-autism series identical in both variants. Reporting establishments: 952."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme discharges for autism (05990027),"2021 (05990027, annual sum)",494,494,0,matches,"Annual sum of COL01 over the rows present for code 05990027, no deduplication; a flow, not a stock. Reporting establishments: 207."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme discharges for autism (05990027),"2022 (05990027, annual sum)",831,831,0,matches,"Annual sum of COL01 over the rows present for code 05990027, no deduplication; a flow, not a stock. Reporting establishments: 307."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme discharges for autism (05990027),"2023 (05990027, annual sum)","1,814","1,814",0,matches,"Annual sum of COL01 over the rows present for code 05990027, no deduplication; a flow, not a stock. Reporting establishments: 438."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme discharges for autism (05990027),"2024 (05990027, annual sum)","3,315","3,315",0,matches,"Annual sum of COL01 over the rows present for code 05990027, no deduplication; a flow, not a stock. Reporting establishments: 625."
REM Series A / Series P 2019–2025 (module 02),A05: mental-health programme discharges for autism (05990027),"2025 (05990027, annual sum)","3,367","3,367",0,matches,"Annual sum of COL01 over the rows present for code 05990027, no deduplication; a flow, not a stock. Reporting establishments: 624."
REM Series A / Series P 2019–2025 (module 02),"A27: M-CHAT-R/F counselling (29101566), interventions","2023 (29101566, annual sum)","2,380","2,380",0,matches,"Annual sum of COL01 (number of interventions, not persons) for code 29101566, which exists from 2023. Reporting establishments: 150."
REM Series A / Series P 2019–2025 (module 02),"A27: M-CHAT-R/F counselling (29101566), interventions","2024 (29101566, annual sum)","3,874","3,874",0,matches,"Annual sum of COL01 (number of interventions, not persons) for code 29101566, which exists from 2023. Reporting establishments: 180."
REM Series A / Series P 2019–2025 (module 02),"A27: M-CHAT-R/F counselling (29101566), interventions","2025 (29101566, annual sum)","3,026","3,026",0,matches,"Annual sum of COL01 (number of interventions, not persons) for code 29101566, which exists from 2023. Reporting establishments: 169."
REM Series A / Series P 2019–2025 (module 02),"A27: assisted M-CHAT-R/F referrals (29101574), interventions","2023 (29101574, annual sum)",672,672,0,matches,"Annual sum of COL01 (interventions) for code 29101574, which exists from 2023; not a between-stage ratio. Reporting establishments: 98."
REM Series A / Series P 2019–2025 (module 02),"A27: assisted M-CHAT-R/F referrals (29101574), interventions","2024 (29101574, annual sum)","1,068","1,068",0,matches,"Annual sum of COL01 (interventions) for code 29101574, which exists from 2023; not a between-stage ratio. Reporting establishments: 118."
REM Series A / Series P 2019–2025 (module 02),"A27: assisted M-CHAT-R/F referrals (29101574), interventions","2025 (29101574, annual sum)",878,878,0,matches,"Annual sum of COL01 (interventions) for code 29101574, which exists from 2023; not a between-stage ratio. Reporting establishments: 114."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to primary-care rehabilitation (29101629),"2023 (29101629, annual sum)","3,962","3,962",0,matches,"Annual sum of COL01 for code 29101629, which exists from 2023. Reporting establishments: 264."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to primary-care rehabilitation (29101629),"2024 (29101629, annual sum)","7,033","7,033",0,matches,"Annual sum of COL01 for code 29101629, which exists from 2023. Reporting establishments: 313."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to primary-care rehabilitation (29101629),"2025 (29101629, annual sum)","15,859","15,859",0,matches,"Annual sum of COL01 for code 29101629, which exists from 2023. Reporting establishments: 359."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to hospital rehabilitation (29101651),"2023 (29101651, annual sum)",731,731,0,matches,"Annual sum of COL01 for code 29101651, which exists from 2023. Reporting establishments: 39."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to hospital rehabilitation (29101651),"2024 (29101651, annual sum)","1,045","1,045",0,matches,"Annual sum of COL01 for code 29101651, which exists from 2023. Reporting establishments: 50."
REM Series A / Series P 2019–2025 (module 02),A28: TEA entries to hospital rehabilitation (29101651),"2025 (29101651, annual sum)","1,740","1,740",0,matches,"Annual sum of COL01 for code 29101651, which exists from 2023. Reporting establishments: 43."
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2019 (P2500500, December stock)","1,854","1,854",0,matches,December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 460.
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2020 (P2500500, December stock)","1,919","1,919",0,matches,December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 400.
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2021 (P2500500, December stock)","3,853","3,853",0,matches,December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 640.
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2022 (P2500500, December stock)","7,923","7,923",0,matches,December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 897.
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2023 (P2500500, December stock)","13,190","13,190",0,matches,"December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 1,012."
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2024 (P2500500, December stock)","21,737","21,737",0,matches,"December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 1,218."
REM Series A / Series P 2019–2025 (module 02),"P2: NANEAS with TEA under control, December (P2500500)","2025 (P2500500, December stock)","29,974","29,974",0,matches,"December stock (COL01) for code P2500500; June only as a sensitivity and never summed with December. Reporting establishments: 1,325."
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2019 (P2500500, December stock)",460,460,0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2020 (P2500500, December stock)",400,400,0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2021 (P2500500, December stock)",640,640,0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2022 (P2500500, December stock)",897,897,0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2023 (P2500500, December stock)","1,012","1,012",0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2024 (P2500500, December stock)","1,218","1,218",0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),P2: establishments reporting TEA in December,"2025 (P2500500, December stock)","1,325","1,325",0,matches,Distinct IdEstablecimiento with a December row for code P2500500; part of the stock growth reflects reporting expansion.
REM Series A / Series P 2019–2025 (module 02),"P2: total NANEAS under control, December (P2501878)","2023 (P2501878, December stock)","59,907","59,907",0,matches,"December stock (COL01) for code P2501878, which exists from December 2023 (no June 2023 row: not reported, not zero); internal P2 denominator from 2023 only. Reporting establishments: 1,187."
REM Series A / Series P 2019–2025 (module 02),"P2: total NANEAS under control, December (P2501878)","2024 (P2501878, December stock)","77,081","77,081",0,matches,"December stock (COL01) for code P2501878, which exists from December 2023 (no June 2023 row: not reported, not zero); internal P2 denominator from 2023 only. Reporting establishments: 1,293."
REM Series A / Series P 2019–2025 (module 02),"P2: total NANEAS under control, December (P2501878)","2025 (P2501878, December stock)","100,789","100,789",0,matches,"December stock (COL01) for code P2501878, which exists from December 2023 (no June 2023 row: not reported, not zero); internal P2 denominator from 2023 only. Reporting establishments: 1,394."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2019 (P6223000, December stock)","5,520","5,520",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 727."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2020 (P6223000, December stock)","5,185","5,185",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 695."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2021 (P6241010, December stock)","2,257","2,257",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 482."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2022 (P6241010, December stock)","5,042","5,042",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 704."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2023 (P6241010, December stock)","9,717","9,717",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 956."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2024 (P6241010, December stock)","15,934","15,934",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 1,160."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in primary care, December (broad PDD P6223000 in 2019–2020; autism P6241010 from 2021)","2025 (P6241010, December stock)","21,843","21,843",0,matches,"December stock (COL01); definition break between 2020 (broad PDD, Rett inseparable) and 2021 (strict autism): not a continuous series. Reporting establishments: 1,274."
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in specialty care, December (broad PDD P6223380 in 2019–2020; autism P6241060 from 2021)","2019 (P6223380, December stock)","6,624","6,624",0,matches,December stock (COL01); definition break between 2020 (broad PDD) and 2021 (strict autism): not a continuous series. Reporting establishments: 111.
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in specialty care, December (broad PDD P6223380 in 2019–2020; autism P6241060 from 2021)","2020 (P6223380, December stock)","6,905","6,905",0,matches,December stock (COL01); definition break between 2020 (broad PDD) and 2021 (strict autism): not a continuous series. Reporting establishments: 121.
REM Series A / Series P 2019–2025 (module 02),"P6: population under control in specialty care, December (broad PDD P6223380 in 2019–2020; autism P6241060 from 2021)","2021 (P6241060, December stock)","3,562","3,562",0,matches,December stock (COL01); definition break between 2020 (broad PDD) and 2021 (strict autism): not a continuous series. Reporting establishments: 95.
