Source,Year,File,Scheme and key columns,Total (December),Rule,SHA-256
APS,2021,Inscritos_APS_YYYY12.csv,"centres=1,984; panel 1,871=1,871; bracket A–D=13,244,764; bracket X=856,077; bracket missing=0","14,100,841","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 99.55%",n/e
APS,2022,Inscritos_APS_YYYY12.csv,"centres=2,026; panel 1,871=1,871; bracket A–D=13,575,617; bracket X=946,847; bracket missing=0","14,522,464","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 99.09%",n/e
APS,2023,Inscritos_APS_YYYY12.csv,"centres=2,057; panel 1,871=1,871; bracket A–D=14,133,444; bracket X=918,229; bracket missing=0","15,051,673","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 98.66%",n/e
APS,2024,Inscritos_APS_YYYY12.csv,"centres=2,078; panel 1,871=1,871; bracket A–D=14,627,988; bracket X=725,701; bracket missing=0","15,353,689","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 98.24%",n/e
APS,2025,Inscritos_APS_YYYY12.csv,"centres=2,091; panel 1,871=1,871; bracket A–D=15,117,505; bracket X=674,357; bracket missing=0","15,791,862","enrolled persons (December stock); centres = distinct centre codes; retention = panel enrolled / total enrolled; retention of the 1,871-centre panel = 97.54%",n/e
ISAPRE,2019,isapre_beneficiarios_comuna_2019.xls,"sheet 'Beneficiarios' (age columns collapsed to 5-year bands) + sheet 'Nonatos o sin Clasificar'; contributors=2,020,344; dependants=1,410,623; unborn/unclassified=159; 2019–2020 single-year columns 'Edad 1'..'Edad 100' collapsed to 5-year bands; 'Edad 1' inferred to hold ages 0–1; 'Edad 100' open-ended","3,431,126",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
ISAPRE,2020,isapre_beneficiarios_comuna_2020.xls,"sheet 'Beneficiarios' (age columns collapsed to 5-year bands) + sheet 'Nonatos o sin Clasificar'; contributors=1,971,662; dependants=1,367,311; unborn/unclassified=253; 2019–2020 single-year columns 'Edad 1'..'Edad 100' collapsed to 5-year bands; 'Edad 1' inferred to hold ages 0–1; 'Edad 100' open-ended","3,339,226",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
ISAPRE,2021,isapre_beneficiarios_comuna_2021.xlsx,"Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets); contributors=1,988,803; dependants=1,341,451; unborn/unclassified=0; 5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed","3,330,254",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
ISAPRE,2022,isapre_beneficiarios_comuna_2022.xlsx,"Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets); contributors=1,901,844; dependants=1,250,041; unborn/unclassified=0; 5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed","3,151,885",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
ISAPRE,2023,isapre_beneficiarios_comuna_2023.xlsx,"Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets); contributors=1,699,294; dependants=1,088,963; unborn/unclassified=0; 5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed","2,788,257",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
ISAPRE,2024,isapre_beneficiarios_comuna_2024.xlsx,"Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets); contributors=1,610,979; dependants=1,019,047; unborn/unclassified=0; 5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed","2,630,026",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
ISAPRE,2025,isapre_beneficiarios_comuna_2025.xlsx,"Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets); contributors=1,557,693; dependants=959,612; unborn/unclassified=0; 5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed","2,517,305",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0),n/e
