Source,Role,Provider,File,Size (MB),SHA-256 (first 12),Download/version date,Observation unit,Period,Stock / flow,Definition breaks,Linkage restrictions,Use rule,SHA-256 matches manifest
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",SA_21_V1.2-CODIGOS.xlsm,1.94,36d8b8f78665,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2021,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2022.csv,564.00,ad02113f713e,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2022,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",SA_22_V1.1-CODIGOS.xlsm,1.74,755c32f250cc,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2022,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2023.csv,618.07,98bb2edd15da,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2023,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",DICCIONARIO CODIGOS SA_23_V1.4.xlsm,2.05,17555c32418d,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2023,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2024.csv,671.90,8b82723ebdf9,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2024,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",DICCIONARIO CODIGOS SA_24_V1.1.xlsm,1.37,aed008d4d208,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2024,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_a,data,"DEIS, Ministerio de Salud",SerieA_2025.csv,574.17,ef4c364a6f07,2026-07-07 (REM/SerieA/.rem_manifest.json normalizado_en),Establishment x month x REM code row (Col01..Col50 cells of Serie A monthly statistical register),2025,"flow (monthly activity: screenings, interventions, programme entries/exits)","A03: legacy subgroup codes 2019–2022 (children with language/social alteration), new M-CHAT-R/F family 2023, 31–59-month codes added 2024, full redesign 2025; A05: broad PDD only in 2019–2020, strict autism and disaggregated categories from 2021; A27 TEA-specific codes only from 2023 (earlier assisted-referral codes concern alcohol/drugs); A28 autism rehabilitation from 2023; 2020 reporting disruption (pandemic); SerieA_2025.csv keeps one incomplete trailing row from the source publication","Aggregate rows without persons; A27 counts interventions not children; no linkage between A03, A27, A05, A28, P2/P6 or GRD","Build tidy establishment x month x code tables keeping zero, empty and 'no row reported' as distinct states; facet by definition era; report reporting establishments; confirm every code against the annual Serie A dictionary; treat 2020 as a reporting-disruption year without interpolation; reproduce config.CONTROLS a05/a27/a28/a03 totals",Yes
rem_serie_a_dictionary,dictionary,"DEIS, Ministerio de Salud",DICCIONARIO CODIGOS SA_25_V1.5.xlsm,1.56,564b79117ccc,2026-07-07 (file mtime; not dated in any manifest),"Annual Serie A code dictionary (one sheet per REM section: A03, A05, A27, A28, ...)",2025,not applicable (dictionary),File naming changes in 2023 (DICCIONARIO CODIGOS SA_yy); code families change as listed for rem_serie_a,not applicable,Confirm every code and column position of scripts/downloads/rem_pathway_codes.csv for the given year before extraction (scripts/audit_rem.py pattern),not listed in any manifest
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2019.csv,90.44,e3b8c85b1ac3,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2019,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",SP_19_V1.1-CODIGOS.xlsm,0.37,536c4b1fd7dd,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2019,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2020.csv,46.24,b5402460d4f3,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2020,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",SP_20_V1.0 CODIGOS.xlsm,0.35,1901939e368a,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2020,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2021.csv,91.83,278440a173b9,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2021,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",SP_21_V1.1 CODIGOS.xlsm,0.41,b69b221545de,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2021,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2022.csv,103.34,ce18c08fd4f7,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2022,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",SP_22_V1.0 CODIGOS.xlsm,0.37,d0aa8338e447,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2022,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2023.csv,118.07,f646fb4a8062,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2023,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",DICCIONARIO CODIGOS SP_23_V1.2.xlsm,0.48,8160b0919289,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2023,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2024.csv,126.88,9664d8c9e6a8,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2024,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",DICCIONARIO CODIGOS SP_24_V1.1.xlsm,0.46,51da22dc9f3f,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2024,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
rem_serie_p,data,"DEIS, Ministerio de Salud",SerieP_2025.csv,133.01,cc694848c118,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),Establishment x semester (Mes=06 or 12) x REM code row (Serie P population under control),2025,stock (semiannual population under control),P6 changes from broad PDD (2019–2020) to autism and disaggregated categories (2021); P2501878 exists only from December 2023; June 2020 P2 records only 172 persons in 28 establishments (pandemic reporting collapse); files extracted from the official SERIE_REM_{year}.zip (member names vary by year),"Aggregate stocks without persons; not linkable to A05 entries, GRD or education",December (Mes=12) is the primary series and June the sensitivity; never sum semesters nor average them; always report reporting establishments; reproduce config.CONTROLS p2_*/p6_* December totals,Yes
rem_serie_p_dictionary,dictionary,"DEIS, Ministerio de Salud",DICCIONARIO CODIGOS SP_25_V1.2.xlsm,0.44,a0c41193a3fa,2026-09-04 (manifest_extract_rem_series_p.csv processed_at_utc),"Annual Serie P code dictionary (sheets P2, P6, ...)",2025,not applicable (dictionary),Taxonomic break of P6 in 2021; P2501878 added in 2023,not applicable,Confirm P2/P6 codes and column meaning for each year before extraction,Yes
deis_egresos,data,"DEIS, Ministerio de Salud",2019.csv,308.55,2b8f91139bf9,2024-10-18 (file mtime; not dated in any manifest),"Hospital discharge (egreso) reported to DEIS, one row per discharge",2019,flow (discharges in the year),"Only two diagnosis fields (cannot reproduce 'F84 in any of 35 positions'); column set changes across years (2019 header PERTENENCIA_ESTABLECIMIENTO_SALU with ETNIA, INTERV_Q, PROCED; 2024 header PERTENENCIA_ESTABLECIMIENTO_SALUD without them); 2012 and 2021 have an official 15-column variant kept apart",No identifier; no linkage to GRD episodes or persons,External check of the F84-principal/DIAG1-DIAG2 series and of national discharge volumes only; not a substitute for GRD; never combine numerators from GRD with denominators from DEIS,Yes
deis_egresos,data,"DEIS, Ministerio de Salud",2020.csv,245.98,7a26483c6853,2024-10-18 (file mtime; not dated in any manifest),"Hospital discharge (egreso) reported to DEIS, one row per discharge",2020,flow (discharges in the year),"Only two diagnosis fields (cannot reproduce 'F84 in any of 35 positions'); column set changes across years (2019 header PERTENENCIA_ESTABLECIMIENTO_SALU with ETNIA, INTERV_Q, PROCED; 2024 header PERTENENCIA_ESTABLECIMIENTO_SALUD without them); 2012 and 2021 have an official 15-column variant kept apart",No identifier; no linkage to GRD episodes or persons,External check of the F84-principal/DIAG1-DIAG2 series and of national discharge volumes only; not a substitute for GRD; never combine numerators from GRD with denominators from DEIS,Yes
