Year,Level,Files (microdata · encoding · dictionary · questionnaire),ASD variable,ASD item wording (verbatim Spanish),Observed ASD codes,Filter variable,Filter wording (verbatim Spanish),Auxiliary variables (weight · sex · grade),Other item categories (n),Estimability
2021,Grade 5 (5º básico),EV_2021_JUNAEB_5to_basico_desidentificada.csv · utf-8 · diccionario EVE 2021 quinto basico.xlsx · ENCUESTA 5º BÁSICO 2021 22012021.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMEDAD_CRON,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
2021,Grade 9 (1º medio),EV_2021_JUNAEB_1ero_medio_desidentificada.csv · utf-8 · diccionario EVE 2021 primero medio.xlsx · ENCUESTA 1º MEDIO 2021 22012021.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMEDCRONICA,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un largo período de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
2022,Pre-school (pre-kindergarten/kindergarten),EV_2022_JUNAEB_parvularia_desidentificada_ANSI.csv · cp1252 · — · ENCUESTA PARVULARIA 2022.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMEDAD_CRON,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
2022,Grade 1 (1º básico),EV_2022_JUNAEB_1ero_basico_desidentificada_ANSI.csv · cp1252 · — · ENCUESTA 1RO BASICO 2022.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMED_CRONIC,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
2022,Grade 5 (5º básico),EV_2022_JUNAEB_5to_basico_desidentificada_ANSI.csv · cp1252 · — · ENCUESTA 5TO BASICO 2022.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMEDAD_CRON,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de Sí salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
2022,Grade 9 (1º medio),EV_2022_JUNAEB_1ero_medio_desidentificada_ANSI.csv · cp1252 · — · ENCUESTA 1RO MEDIO 2022.pdf,absent,absent: the item on a diagnosed illness or chronic condition has no autism spectrum disorder category,—,DIAG_ENFERMEDCRONICA,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,10,not estimable
2023,Pre-school (pre-kindergarten/kindergarten),eve_2023_parvularia_desidentificado.csv · utf-8 · — · ENCUESTA PARVULARIA 2023.pdf,T_E_A,Trastornos del espectro autista 13. Marque con una equis (X) la alternativa que corresponda.,no data = 249710; Y = 11388,DIAGNOSTICO_MEDICO,El/la niño/a ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?,not published · SEXO · DS_GRADO,12,unweighted only (no weight)
2023,Grade 1 (1º básico),eve_2023_1ero_basico_desidentificado.csv · utf-8 · — · ENCUESTA 1º BÁSICO 2023.pdf,TRASTORNO_ESPECTRO_AUTISTA,Trastornos del espectro autista 14. Marque con una equis (X) la alternativa que corresponda.,no data = 153227; Y = 6660,DIAGNOSTICO_ENFERMEDAD,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,13,unweighted only (no weight)
2023,Grade 5 (5º básico),eve_2023_5to_basico_desidentificado.csv · utf-8 · — · ENCUESTA 5º BÁSICO 2023.pdf,DIAGNOSTICO_TEA,Trastornos del espectro autista 14. Marque con una equis (X) la alternativa que corresponda.,no data = 161396; Y = 4822,DIAGNOSTICO_MEDICO,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,12,unweighted only (no weight)
2023,Grade 9 (1º medio),eve_2023_1ero_medio_desidentificado.csv · utf-8 · — · ENCUESTA 1º MEDIO 2023.pdf,TRASTORNO_ESPECTRO_AUTISTA,Trastornos del espectro autista 14. Marque con una equis (X) la alternativa que corresponda.,no data = 173848; Y = 4618,DIAGNOSTICO_MEDICO_CONDICION_SALUD,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera tratamiento médico o medicamento por un periodo prolongado de tiempo?",not published · SEXO · DS_GRADO,13,unweighted only (no weight)
2024,Pre-school (pre-kindergarten/kindergarten),eve_2024_parvularia_desidentificado.csv · cp1252 · códigos eve 2024 parvularia.xlsx · ENCUESTA PARVULARIA 2024.pdf,C30_11,"[Trastornos del espectro autista (TEA)] 13. Si respondió Sí en la pregunta anterior, indique la enfermedad o condición de salud que presenta (puede marcar más de una).",no data = 240614; Sí = 17641,C29,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP_REG · SEXO · DS_GRADO,16,estimable (weighted)
2024,Grade 1 (1º básico),eve_2024_1ro_basico_desidentificado.csv · cp1252 · códigos eve 2024 1 básico.xlsx · ENCUESTA 1º BÁSICO 2024.pdf,D15_11,"[Trastornos del espectro autista (TEA)] 14. Si respondió Sí en la pregunta anterior, indique la enfermedad o condición de salud que presenta (puede marcar más de una)",no data = 143921; Sí = 10245,D14,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP_REG · SEXO · DS_GRADO,16,estimable (weighted)
2024,Grade 5 (5º básico),eve_2024_5to_basico_desidentificado.csv · cp1252 · códigos eve 2024 5 básico.xlsx · ENCUESTA 5º BÁSICO 2024.pdf,D15_11,"[Transtornos del espectro autista (TEA)] 14. Si respondió Sí en la pregunta anterior, indique la enfermedad o condición de salud que presenta (puede marcar más de una)",no data = 158065; Sí = 7468,D14,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP_REG · SEXO · DS_GRADO,16,estimable (weighted)
2024,Grade 9 (1º medio),eve_2024_1ero_medio_desidentificado.csv · cp1252 · códigos eve 2024 1 medio.xlsx · ENCUESTA 1º MEDIO 2024.pdf,D15_11,"[Trastornos del espectro autista (TEA)] 14. Si respondió Sí en la pregunta anterior, indique la enfermedad o condición de salud que presenta (puede marcar más de una)",blank = 184963,D14,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna enfermedad o condición de salud que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP_REG · SEXO · DS_GRADO,16,not estimable
2025,Pre-school (pre-kindergarten/kindergarten),eve_2025_parvularia_desidentificado.csv · utf-8 · códigos parvularia 2025.xlsx · 2025_EVE parvularia 2025.pdf,D14_11,[Trastornos del especto autista (TEA)] 14. Especifique todas las alternativas que correspondan.,no data = 177130; 0 = 43417; 1 = 18785,D13,"El/la niño/a, ¿ha sido diagnosticado/a por un médico con alguna condición o enfermedad que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP · SEXO · DS_GRADO,16,estimable (weighted)
2025,Grade 1 (1º básico),eve_2025_1ero_basico_desidentificado.csv · utf-8 · códigos 1 básico 2025.xlsx · 2025_EVE 1 básico 2025.pdf,D14_11,[Trastornos del especto autista (TEA)] 14. Especifique todas las alternativas que correspondan:,no data = 105418; 0 = 31016; 1 = 12536,D13,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna condición o enfermedad que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP · SEXO · DS_GRADO,16,estimable (weighted)
2025,Grade 5 (5º básico),eve_2025_5to_basico_desidentificado.csv · utf-8 · códigos 5 básico 2025.xlsx · 2025_EVE 5 básico 2025.pdf,D14_11,[Trastornos del especto autista (TEA)] 14. Especifique todas las alternativas que correspondan:,no data = 125255; 0 = 36783; 1 = 9887,D13,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna condición o enfermedad que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP · SEXO · DS_GRADO,16,estimable (weighted)
2025,Grade 9 (1º medio),eve_2025_1ero_medio_desidentificado.csv · utf-8 · códigos 1 medio 2025.xlsx · 2025_EVE 1 medio 2025.pdf,D14_11,[Trastornos del especto autista (TEA)] 14. Especifique todas las alternativas que correspondan:,no data = 131005; 0 = 43404; 1 = 9164,D13,"El/la estudiante, ¿ha sido diagnosticado/a por un médico con alguna condición o enfermedad que requiera terapia, tratamiento médico o medicamento por un periodo prolongado de tiempo?",EXP · SEXO · DS_GRADO,16,estimable (weighted)
