module,year_start,year_end,code,domain,setting,indicator,unit,aggregation_rule,comparability_warning
A03,2024,2024,03700104,screening,APS,Children aged 31–59 months evaluated at integral health control,children reported,"For annual national totals sum months and COL01+COL02","Introduced in 2024; 2025 age range and codes redesigned"
A03,2024,2024,03700105,screening,APS,Children aged 31–59 months suspected elsewhere,children reported,"For annual national totals sum months and COL01+COL02","Introduced in 2024; 2025 recoded"
A03,2024,2024,03700106,screening,APS,Autism suspicion by alert-sign guide: yes,screening results,"For annual national totals sum months and COL01+COL02","One-year code; 2025 recoded"
A03,2024,2024,03700107,screening,APS,Autism suspicion by alert-sign guide: no,screening results,"For annual national totals sum months and COL01+COL02","One-year code; 2025 recoded"
A03,2024,2024,03700108,referral,APS,Referral after alert-sign evaluation: yes,referral records,"For annual national totals sum months and COL01+COL02","One-year code; 2025 recoded"
A03,2024,2024,03700109,referral,APS,Referral after alert-sign evaluation: no,referral records,"For annual national totals sum months and COL01+COL02","One-year code; 2025 recoded"
A03,2025,2025,03710013,screening,APS,M-CHAT motive: altered EEDP language/social area in ages 16–30 months,screening records,"For annual national totals sum months and COL01+COL02","New 2025 design; motive rather than result"
A03,2025,2025,03710014,screening,APS,M-CHAT motive: autism risk factor or alert sign in ages 16–30 months,screening records,"For annual national totals sum months and COL01+COL02","New 2025 design; motive rather than result"
A03,2025,2025,03710015,screening,APS,M-CHAT motive: both altered EEDP and autism risk/alert in ages 16–30 months,screening records,"For annual national totals sum months and COL01+COL02","New 2025 design; motive rather than result"
A03,2025,2025,03710016,screening,APS,M-CHAT-R/F result: low risk,screening results,"For annual national totals sum months and COL01+COL02","Not directly continuous with 2023–2024 codes"
A03,2025,2025,03710017,screening,APS,M-CHAT-R/F medium risk: no diagnostic referral required,screening results,"For annual national totals sum months and COL01+COL02","Medium risk is split by referral in 2025"
A03,2025,2025,03710018,referral,APS,M-CHAT-R/F medium risk: diagnostic referral required,referral records,"For annual national totals sum months and COL01+COL02","Medium risk is split by referral in 2025"
A03,2025,2025,03710019,referral,APS,M-CHAT-R/F high risk: diagnostic referral required,referral records,"For annual national totals sum months and COL01+COL02","New 2025 design"
A03,2025,2025,03710020,screening,APS,Suspected autism ages 30–59 months: no diagnostic referral required,screening results,"For annual national totals sum months and COL01+COL02","New 2025 design"
A03,2025,2025,03710021,referral,APS,Suspected autism ages 30–59 months: diagnostic referral required,referral records,"For annual national totals sum months and COL01+COL02","New 2025 design"
A05,2019,2020,06902600,entry,mental_health,Entry to mental-health programme: pervasive developmental disorders,entries reported,"For annual national totals sum months and COL01","Broad pre-2021 category; cannot isolate autism"
A05,2019,2020,05225000,exit,mental_health,Clinical discharge: pervasive developmental disorders,exits reported,"For annual national totals sum months and COL01","Broad pre-2021 category; cannot isolate autism"
A05,2021,2025,05990022,entry,mental_health,Entry: autism,entries reported,"For annual national totals sum months and COL01","Definition break in 2021; not person-linked to screening or stocks"
A05,2021,2025,05990023,entry,mental_health,Entry: Asperger,entries reported,"For annual national totals sum months and COL01","Legacy diagnostic taxonomy"
A05,2021,2025,05990024,entry,mental_health,Entry: Rett syndrome,entries reported,"For annual national totals sum months and COL01","Do not include in strict autism outcome"
A05,2021,2025,05990025,entry,mental_health,Entry: childhood disintegrative disorder,entries reported,"For annual national totals sum months and COL01","Do not include in strict autism outcome"
A05,2021,2025,05990026,entry,mental_health,Entry: pervasive developmental disorder unspecified,entries reported,"For annual national totals sum months and COL01","Use only in prespecified broad sensitivity"
A05,2021,2025,05990027,exit,mental_health,Clinical discharge: autism,exits reported,"For annual national totals sum months and COL01","Not person-linked to entries; an annual ratio is not retention"
A05,2021,2025,05990028,exit,mental_health,Clinical discharge: Asperger,exits reported,"For annual national totals sum months and COL01","Legacy diagnostic taxonomy"
A05,2021,2025,05990029,exit,mental_health,Clinical discharge: Rett syndrome,exits reported,"For annual national totals sum months and COL01","Do not include in strict autism outcome"
A05,2021,2025,05990030,exit,mental_health,Clinical discharge: childhood disintegrative disorder,exits reported,"For annual national totals sum months and COL01","Do not include in strict autism outcome"
A05,2021,2025,05990031,exit,mental_health,Clinical discharge: pervasive developmental disorder unspecified,exits reported,"For annual national totals sum months and COL01","Use only in prespecified broad sensitivity"
A27,2023,2025,29101566,screening_support,APS,Counselling in screening context: number of M-CHAT-R/F,interventions,"For annual national totals sum months and COL01","Counts interventions not unique children"
A27,2023,2025,29101574,assisted_referral,APS,Assisted referral in screening context: number of M-CHAT-R/F,interventions,"For annual national totals sum months and COL01","Counts interventions not unique children; earlier assisted-referral codes concern alcohol/drugs"
A28,2023,2025,29101629,rehabilitation,primary_care,Entry to primary-level rehabilitation by health condition: autism,entries reported,"For annual national totals sum months and COL01","New from 2023; not person-linked to A05 or P2/P6"
A28,2023,2025,29101651,rehabilitation,hospital,Entry to hospital-level rehabilitation by health condition: autism,entries reported,"For annual national totals sum months and COL01","New from 2023; not person-linked to GRD"
P2,2019,2025,P2500500,follow_up,NANEAS,Autism spectrum disorder population under control,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Semiannual stock; changes in reporting establishments affect totals"
P2,2023,2025,P2501878,follow_up,NANEAS,Total NANEAS population under control,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06 where available; never sum semesters","Introduced in December 2023; not a denominator before then"
P6,2019,2020,P6223000,follow_up,primary_care,Pervasive developmental disorders under control in primary care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Broad pre-2021 category; taxonomic break in 2021"
P6,2019,2020,P6223380,follow_up,specialty,Pervasive developmental disorders under control in specialty care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Broad pre-2021 category; taxonomic break in 2021"
P6,2021,2025,P6241010,follow_up,primary_care,Autism under control in primary care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Strict series begins in 2021"
P6,2021,2025,P6241020,follow_up,primary_care,Asperger under control in primary care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Legacy diagnostic taxonomy; broad sensitivity only"
P6,2021,2025,P6241030,follow_up,primary_care,Rett syndrome under control in primary care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Do not include in strict autism outcome"
P6,2021,2025,P6241040,follow_up,primary_care,Childhood disintegrative disorder under control in primary care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Do not include in strict autism outcome"
P6,2021,2025,P6241050,follow_up,primary_care,Pervasive developmental disorder unspecified under control in primary care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Broad sensitivity only"
P6,2021,2025,P6241060,follow_up,specialty,Autism under control in specialty care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Strict series begins in 2021"
P6,2021,2025,P6241070,follow_up,specialty,Asperger under control in specialty care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Legacy diagnostic taxonomy; broad sensitivity only"
P6,2021,2025,P6241080,follow_up,specialty,Rett syndrome under control in specialty care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Do not include in strict autism outcome"
P6,2021,2025,P6241090,follow_up,specialty,Childhood disintegrative disorder under control in specialty care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Do not include in strict autism outcome"
P6,2021,2025,P6241100,follow_up,specialty,Pervasive developmental disorder unspecified under control in specialty care,people in stock,"Primary analysis: MES=12 and COL01; sensitivity: MES=06; never sum semesters","Broad sensitivity only"
