year,icd_code,description,hosp_male,hosp_female,hosp_total,asr_male,asr_female,asr_total
2023,F80,Specific developmental disorders of speech and language,778,369.0,1147,10.54,4.96,7.8
2023,F81,Specific developmental disorders of scholastic skills,92,79.0,171,1.2,1.08,1.14
2023,F82,Specific developmental disorder of motor function,237,152.0,389,3.35,2.23,2.8
2023,F83,Mixed specific developmental disorders,469,356.0,825,6.63,5.22,5.94
2023,F84.0,Childhood autism,3780,1543.0,5323,50.98,21.24,36.38
2023,F84.1,Atypical autism,144,74.0,218,1.8,0.92,1.37
2023,F84.2,Rett syndrome,2,56.0,58,0.03,0.76,0.39
2023,F84.3,Other childhood disintegrative disorder,3,2.0,5,0.04,0.03,0.04
2023,F84.4,Overactive disorder with mental retardation and stereotyped movements,10,4.0,14,0.13,0.05,0.09
2023,F84.5,Asperger syndrome,117,44.0,161,1.43,0.54,0.99
2023,F84.8,Other pervasive developmental disorders,122,95.0,217,1.59,1.25,1.42
2023,F84.9,"Pervasive developmental disorder, unspecified",356,172.0,528,4.81,2.34,3.59
2023,F88,Other disorders of psychological development,7,23.0,30,0.09,0.31,0.2
2023,F89,Unspecified disorder of psychological development,51,71.0,122,0.66,0.98,0.81
2023,F90.0,Disturbance of activity and attention,1074,516.0,1590,14.12,6.94,10.59
2023,F90.1,Hyperkinetic conduct disorder,47,10.0,57,0.62,0.14,0.38
2023,F90.8,Other hyperkinetic disorders,12,8.0,20,0.15,0.1,0.13
2023,F90.9,"Hyperkinetic disorder, unspecified",96,47.0,143,1.28,0.65,0.97
2024,F80,Specific developmental disorders of speech and language,920,438.0,1358,12.46,5.93,9.25
2024,F81,Specific developmental disorders of scholastic skills,89,122.0,211,1.16,1.62,1.39
2024,F82,Specific developmental disorder of motor function,261,186.0,447,3.68,2.71,3.21
2024,F83,Mixed specific developmental disorders,665,463.0,1128,9.45,6.81,8.16
2024,F84.0,Childhood autism,4911,2316.0,7227,66.36,31.53,49.27
2024,F84.1,Atypical autism,188,147.0,335,2.3,1.83,2.07
2024,F84.2,Rett syndrome,12,82.0,94,0.17,1.11,0.63
2024,F84.3,Other childhood disintegrative disorder,3,,3,0.04,,0.02
2024,F84.4,Overactive disorder with mental retardation and stereotyped movements,6,9.0,15,0.08,0.12,0.1
2024,F84.5,Asperger syndrome,98,41.0,139,1.23,0.51,0.88
2024,F84.8,Other pervasive developmental disorders,201,142.0,343,2.63,1.8,2.22
2024,F84.9,"Pervasive developmental disorder, unspecified",470,247.0,717,6.34,3.35,4.87
2024,F88,Other disorders of psychological development,10,27.0,37,0.14,0.37,0.25
2024,F89,Unspecified disorder of psychological development,55,64.0,119,0.73,0.86,0.8
2024,F90.0,Disturbance of activity and attention,1745,993.0,2738,23.12,13.3,18.3
2024,F90.1,Hyperkinetic conduct disorder,58,34.0,92,0.75,0.46,0.61
2024,F90.8,Other hyperkinetic disorders,12,7.0,19,0.16,0.09,0.12
2024,F90.9,"Hyperkinetic disorder, unspecified",139,66.0,205,1.85,0.9,1.38
